,bill_id,title,date
91,585,School Transport Bill,2009-12-16T00:00:00
92,635,Second Home Ownership (Regulation) Bill,2010-03-29T00:00:00
93,591,Sheltered Accommodation (Residents) Bill,2010-01-06T00:00:00
94,572,Sunbeds (Regulation) Act 2010,2009-12-16T00:00:00
95,633,Sustainability of Livestock Farming and Food Production (Strategy) Bill,2010-03-23T00:00:00
96,574,Sustainable Communities Act 2007 (Amendment) Act 2010,2009-12-16T00:00:00
97,597,Sustainable Energy (Local Action) Bill,2010-01-12T00:00:00
98,637,Tax and Financial Transparency Bill,2010-03-30T00:00:00
99,537,Taxation (International and Other Provisions) Act 2010,2009-11-19T00:00:00
100,609,Terrorist Asset-Freezing (Temporary Provisions) Act 2010,2010-02-05T00:00:00
101,560,Third Parties (Rights against Insurers) Act 2010,2009-11-23T00:00:00
102,595,Torture (Damages) Bill,2010-01-06T00:00:00
103,579,Town and Country Planning Act 1990 (Amendment) Bill,2009-12-16T00:00:00
104,621,Transport for London (Supplemental Toll Provisions) Bill [HL],2006-11-27T00:00:00
105,599,United Kingdom Parliamentary Sovereignty Bill,2010-01-13T00:00:00
106,600,Veterans' Welfare Bill,2010-01-13T00:00:00
107,567,Video Recording Act 2010,2009-12-15T00:00:00
108,598,Video Recordings (Exemption from Classification) Bill,2010-01-12T00:00:00
109,575,Warsaw Convention (Carrier Liability) Bill,2009-12-16T00:00:00
110,639,Waste Recovery and Disposal Facilities (Public Consultation) Bill,2010-04-06T00:00:00
111,612,Water Tariffs Bill,2010-02-10T00:00:00
112,606,Young People Leaving Care (Accommodation) Bill,2010-01-27T00:00:00
113,642,Academies Act 2010,2010-05-26T00:00:00
114,777,Activity Centres (Young Persons' Safety) (Amendment) Bill,2010-10-21T00:00:00
115,878,"Adoption (Leave, Pay and Allowance Arrangements) Bill",2011-06-29T00:00:00
116,954,Airport Security (People with Disabilities) Bill,2012-02-01T00:00:00
117,916,Airports (Amendment) Bill [HL],2011-12-07T00:00:00
118,854,Alcohol Marketing Bill,2011-03-30T00:00:00
119,564,Allhallows Staining Church Act,2010-01-25T00:00:00
120,689,Anonymity (Arrested Persons) Bill,2010-06-30T00:00:00
121,722,Apprehension of Burglars Bill,2010-07-05T00:00:00
122,757,Apprenticeships and Skills (Public Procurement Contracts) Bill,2010-09-14T00:00:00
123,836,Appropriation Act 2011,2011-03-02T00:00:00
124,743,Appropriation (No. 3) Act 2010,2010-07-19T00:00:00
125,867,Arbitration and Mediation Services (Equality) Bill [HL],2011-06-07T00:00:00
126,682,Armed Forces Act 2011,2010-12-08T00:00:00
127,943,Armed Forces (Germany) Bill,2012-01-31T00:00:00
128,734,Armed Forces (Leave) Bill,2010-07-05T00:00:00
129,789,Armed Forces Charter Bill,2010-11-09T00:00:00
130,866,Autism (Quality Standards) Bill,2011-05-24T00:00:00
131,876,Bail (Amendment) Bill,2011-06-28T00:00:00
132,797,Bank of Ireland (UK) plc,2010-11-29T00:00:00
133,970,"Banking (Disclosure, Responsibility and Education) Bill",2012-03-26T00:00:00
134,809,Banking and Financial Services (Community Investment) Bill,2010-12-14T00:00:00
135,826,BBC Licence Fee Payers (Voting Rights) Bill,2011-02-08T00:00:00
136,887,Betting Shops Bill,2011-07-19T00:00:00
137,709,Broadcasting (Public Service Content) Bill,2010-07-05T00:00:00
138,728,Broadcasting (Television Licence Fee Abolition) Bill,2010-07-05T00:00:00
139,783,Budget Responsibility and National Audit Act 2011,2010-10-21T00:00:00
140,657,Building Regulations (Review) Bill [HL],2010-05-26T00:00:00
141,215,Canterbury City Council Act 2013,2007-11-27T00:00:00
142,914,Caravan Sites Bill [HL],2011-12-01T00:00:00
143,739,Carers (Identification and Support) Bill,2010-07-14T00:00:00
144,822,Carers and Employment Bill,2011-01-26T00:00:00
145,838,Charitable Healthcare Providers (Value Added Tax Relief) Bill,2011-03-08T00:00:00
146,837,Charities Act 2011,2011-03-03T00:00:00
147,787,Cheques Bill,2010-11-02T00:00:00
148,944,Child Benefit (Amendment) Bill,2012-01-31T00:00:00
149,852,Children (Access to Parents) Bill,2011-03-29T00:00:00
150,798,City of London (Various Powers) 2013,2010-11-29T00:00:00
151,357,City of Westminster Bill [HL],2008-11-27T00:00:00
152,993,Civil Aviation Act 2012,2012-01-19T00:00:00
153,692,Coinage (Measurement) Act 2011,2010-06-30T00:00:00
154,848,Common Fisheries Policy (Withdrawal) Bill,2011-03-24T00:00:00
155,892,Company Remuneration Bill [HL],2011-09-12T00:00:00
156,771,Compensation (Limitation) Bill,2010-10-21T00:00:00
157,897,Concessionary Bus Travel (Amendment) Bill,2011-10-18T00:00:00
158,806,Consolidated Fund Act 2010,2010-12-08T00:00:00
159,788,Consumer Credit (Regulation and Advice) Bill,2010-11-03T00:00:00
160,862,Consumer Insurance (Disclosure and Representations) Act 2012,2011-05-16T00:00:00
161,818,Consumer Protection (Postal Marketing) Bill,2011-01-19T00:00:00
162,801,Consumer Protection (Private Car Parks) Bill,2010-11-30T00:00:00
163,651,Contaminated Blood (Support for Infected and Bereaved Persons) Bill [HL],2010-05-26T00:00:00
164,895,Co-Operative Housing Tenure Bill,2011-10-11T00:00:00
165,950,Corporate Tax Reductions Bill,2012-01-31T00:00:00
166,804,Council Housing (Local Financing Pathfinders) Bill,2010-12-08T00:00:00
167,746,Credit Regulation (Child Pornography) Bill,2010-07-21T00:00:00
168,832,Criminal Justice (Amendment) Bill,2011-02-16T00:00:00
169,776,Criminal Records (Public Access) Bill,2010-10-21T00:00:00
170,888,Currency and Banknotes (Amendment) Bill,2011-09-06T00:00:00
171,886,Cycles (Protective Headgear for Children) Bill,2011-07-14T00:00:00
172,814,Dairy Farming Bill,2011-01-12T00:00:00
173,846,Dangerous and Reckless Cycling (Offences) Bill,2011-03-22T00:00:00
174,863,Dangerous Driving (Maximum Sentence) Bill,2011-05-17T00:00:00
175,687,Daylight Saving Bill,2010-06-30T00:00:00
176,650,Defamation Bill [HL],2010-05-26T00:00:00
177,763,Demonstrations in the Vicinity of Parliament (Removal of Authorisation Requirements) Bill [HL],2010-10-11T00:00:00
178,934,"Department for Business, Innovation and Skills (Relocation to Sheffield) Bill",2012-01-31T00:00:00
179,940,Department for Communities and Local Government (Relocation to Liverpool) Bill,2012-01-31T00:00:00
180,936,"Department for Culture, Media and Sport (Relocation to Manchester) Bill",2012-01-31T00:00:00
181,937,Department for Education (Relocation to Nottingham) Bill,2012-01-31T00:00:00
182,933,"Department for Environment, Food and Rural Affairs (Relocation to Bristol) Bill",2012-01-31T00:00:00
183,938,Department for International Development (Relocation to Newcastle) Bill,2012-01-31T00:00:00
184,935,Department for Transport (Relocation to Birmingham) Bill,2012-01-31T00:00:00
185,939,Department for Work and Pensions (Relocation to Leeds) Bill,2012-01-31T00:00:00
186,810,Devolution (Time) Bill [HL],2010-12-15T00:00:00
187,905,Devolved Administrations (Armed Forces Covenant Reports) Bill,2011-11-02T00:00:00
188,976,Diabetes Prevention (Soft Drinks) Bill,2012-04-18T00:00:00
189,652,Dog Control Bill [HL],2010-05-26T00:00:00
190,753,Dog Control and Welfare Bill,2010-07-27T00:00:00
191,704,"Domestic Violence, Crime and Victims (Amendment) Act 2012",2010-06-30T00:00:00
192,707,Drugs (Roadside Testing) Bill,2010-07-05T00:00:00
193,821,Education Act 2011,2011-01-26T00:00:00
194,870,Education (Special Educational Needs) Bill,2011-06-08T00:00:00
195,904,Education and Training (Young People with Autism) Bill,2011-11-01T00:00:00
196,729,Elector Registration Bill,2010-07-05T00:00:00
197,730,Electoral Law (Amendment) Bill,2010-07-05T00:00:00
198,913,Electoral Register (Access to Public Services) Bill,2011-11-29T00:00:00
199,827,Electric Personal Vehicles (Use on Highways) Bill [HL],2011-02-09T00:00:00
200,881,Electricity Transmission (Protection of Landscape) Bill,2011-07-05T00:00:00
201,706,Employment Opportunities Bill,2010-07-05T00:00:00
202,792,Employment Retention Bill,2010-11-16T00:00:00
203,805,Energy Act 2011,2010-12-08T00:00:00
204,966,Energy Generation (Planning and Right to Invest) Bill,2012-03-06T00:00:00
205,941,English Police Forces Bill,2012-01-31T00:00:00
206,795,Epilepsy and Related Conditions (Education and Health Services) Bill,2010-11-24T00:00:00
207,769,Equality and Diversity (Reform) Bill,2010-10-21T00:00:00
208,665,Equitable Life (Payments) Act 2010,2010-07-22T00:00:00
209,961,Eradication of Slavery (UK Company Supply Chains) Bill,2012-02-28T00:00:00
210,688,Estates of Deceased Persons (Forfeiture Rule and Law of Succession) Act 2011,2010-06-30T00:00:00
211,724,European Communities Act 1972 (Repeal) Bill,2010-07-05T00:00:00
212,958,European Convention on Human Rights (Temporary Withdrawal) Bill,2012-02-21T00:00:00
213,847,European Convention on Human Rights (Withdrawal) Bill,2011-03-24T00:00:00
214,791,European Union Act 2011,2010-11-11T00:00:00
215,717,European Union (Audit of Benefits and Costs of UK Membership) Bill,2010-07-05T00:00:00
216,850,European Union (Exemption from Value Added Tax Regulation) Bill,2011-03-24T00:00:00
217,849,European Union (Freedom of Movement) (Amendment) Bill,2011-03-24T00:00:00
218,889,European Union Act 2011 (Amendment) Bill,2011-09-07T00:00:00
219,902,European Union Act 2011 (Amendment) (No. 2) Bill,2011-10-25T00:00:00
220,742,European Union Membership (Economic Implications) Bill [HL],2010-07-19T00:00:00
221,727,European Union Membership (Referendum) Bill,2010-07-05T00:00:00
222,857,Export Credits Guarantee Department (Regulation and Reporting) Bill,2011-04-27T00:00:00
223,701,Face Coverings (Regulation) Bill,2010-06-30T00:00:00
224,901,Fee Charging Debt Management Companies (Promotion of Free Debt Management Advice) Bill,2011-10-19T00:00:00
225,853,Finance Act 2011,2011-03-29T00:00:00
226,971,Finance Act 2012,2012-03-26T00:00:00
227,683,Finance (No. 2) Act 2010,2010-06-28T00:00:00
228,761,Finance (No. 3) Act 2010,2010-09-15T00:00:00
229,963,Financial Institutions (Reform) Bill,2012-02-29T00:00:00
230,932,Financial Services Act 2012,2012-01-26T00:00:00
231,759,Financial Services (Regulation of Deposits and Lending) Bill,2010-09-15T00:00:00
232,840,Financial Services (Regulation of Derivatives) Bill,2011-03-15T00:00:00
233,699,Financial Services (Unfair Terms in Consumer Contracts) Bill,2010-06-30T00:00:00
234,700,Fire Safety (Protection of Tenants) Bill,2010-06-30T00:00:00
235,819,Firearms (Amendment) Bill,2011-01-25T00:00:00
236,747,Fixed-Term Parliaments Act 2011,2010-07-22T00:00:00
237,813,Food Labelling Regulations (Amendment) Bill,2011-01-11T00:00:00
238,968,Food Waste Bill,2012-03-14T00:00:00
239,967,Football (Financial Transparency) Bill,2012-03-13T00:00:00
240,738,Foreign Prisoners (Repatriation) Bill,2010-07-13T00:00:00
241,829,Former Metal Mines Bill,2011-02-09T00:00:00
242,755,Freedom of Information (Amendment) Bill,2010-09-07T00:00:00
243,768,Further and Higher Education (Access) Bill,2010-10-21T00:00:00
244,694,Gangmasters Licensing (Extension to Construction Industry) Bill,2010-06-30T00:00:00
245,794,Grandparents (Access Rights) Bill,2010-11-23T00:00:00
246,957,Health and Safety (Amendment) Bill,2012-02-08T00:00:00
247,778,Health and Safety at Work (Amendment) Bill,2010-10-21T00:00:00
248,775,Health and Safety Consultants (Qualifications) Bill,2010-10-21T00:00:00
249,817,Health and Social Care Act 2012,2011-01-19T00:00:00
250,825,High Pay Commission Bill,2011-02-02T00:00:00
251,766,House of Commons Disqualification (Amendment) Bill,2010-10-19T00:00:00
252,658,House of Lords (Amendment) Bill [HL],2010-05-26T00:00:00
253,906,Household Safety (Carbon Monoxide Detectors) Bill,2011-11-03T00:00:00
254,929,Housing (Amendment) Bill,2012-01-24T00:00:00
255,977,Housing (Selective Licensing of Private Landlords in Exempted Areas) Bill,2012-04-24T00:00:00
256,731,Human Trafficking (Border Control) Bill,2010-07-05T00:00:00
257,845,Human Trafficking (Further Provisions and Support for Victims) Bill [HL],2011-03-17T00:00:00
258,660,Identity Documents Act 2010,2010-05-26T00:00:00
259,760,"Illegally Logged Timber (Prohibition of Import, Sale or Distribution) Bill",2010-09-16T00:00:00
260,925,Inheritance (Cohabitants) Bill [HL],2012-01-11T00:00:00
261,907,Internet Regulation (Material Inciting Gang Violence) Bill,2011-11-08T00:00:00
262,927,Keeping of Primates as Pets (Prohibition) Bill,2012-01-18T00:00:00
263,563,Kent County Council (Filming on Highways),2010-01-25T00:00:00
