Unnamed: 0,date,file_path,debate_title,country
0,2010-07-21,Data/speeches/UK/1 Upgrade 2010-07-21.json,A1 Upgrade,2.0
1,2010-07-22,Data/speeches/UK/14 2010-07-22.json,A14,2.0
2,2010-07-22,Data/speeches/UK/64 2010-07-22.json,A64,2.0
3,2010-07-12,Data/speeches/UK/cademies Bill 2010-07-12.json,Academies Bill,2.0
4,2010-07-13,Data/speeches/UK/cademies Bill [HL] 2010-07-13.json,Academies Bill [HL],2.0
5,2010-07-19,Data/speeches/UK/cademies Bill [Lords] 2010-07-19.json,Academies Bill [Lords],2.0
6,2010-07-21,Data/speeches/UK/cademies Bill [Lords] 2010-07-21.json,Academies Bill [Lords],2.0
7,2010-07-22,Data/speeches/UK/cademies Bill [Lords] 2010-07-22.json,Academies Bill [Lords],2.0
8,2010-07-12,Data/speeches/UK/cademy Status 2010-07-12 (1).json,Academy Status,2.0
9,2010-07-12,Data/speeches/UK/cademy Status 2010-07-12 (2).json,Academy Status,2.0
10,2010-07-12,Data/speeches/UK/cademy Status 2010-07-12.json,Academy Status,2.0
14,2010-07-20,Data/speeches/UK/dministrative Penalties 2010-07-20.json,Administrative Penalties,2.0
15,2010-07-21,Data/speeches/UK/dvocate-General 2010-07-21.json,Advocate-General,2.0
16,2010-07-21,Data/speeches/UK/fghanistan 2010-07-21.json,Afghanistan,2.0
17,2010-07-08,Data/speeches/UK/frica_ Post-conflict Stabilisation 2010-07-08.json,Africa: Post-conflict Stabilisation,2.0
18,2010-07-14,Data/speeches/UK/griculture_ Farming 2010-07-14.json,Agriculture: Farming,2.0
19,2010-07-20,Data/speeches/UK/griculture_ Single Farm Payments 2010-07-20.json,Agriculture: Single Farm Payments,2.0
20,2010-07-22,Data/speeches/UK/irport Security 2010-07-22.json,Airport Security,2.0
21,2010-07-19,Data/speeches/UK/rmed Forces Act (Continuation) Order 2010 2010-07-19.json,Armed Forces Act (Continuation) Order 2010,2.0
29,2010-07-13,Data/speeches/UK/BC World Service 2010-07-13.json,BBC World Service,2.0
30,2010-07-14,Data/speeches/UK/ig Society Bank 2010-07-14.json,Big Society Bank,2.0
31,2010-07-13,Data/speeches/UK/iometric Passports 2010-07-13.json,Biometric Passports,2.0
32,2010-07-22,Data/speeches/UK/ovine Tuberculosis 2010-07-22.json,Bovine Tuberculosis,2.0
33,2010-07-13,Data/speeches/UK/udget Implications (Employment) 2010-07-13.json,Budget Implications (Employment),2.0
34,2010-07-22,Data/speeches/UK/udget Implications 2010-07-22.json,Budget Implications,2.0
35,2010-07-21,Data/speeches/UK/uilding Schools for the Future 2010-07-21.json,Building Schools for the Future,2.0
36,2010-07-12,Data/speeches/UK/uilding Schools for the Future Programme 2010-07-12.json,Building Schools for the Future Programme,2.0
37,2010-07-20,Data/speeches/UK/usiness 2010-07-20.json,Business,2.0
41,2010-07-08,Data/speeches/UK/usiness of the House 2010-07-08.json,Business of the House,2.0
44,2010-07-15,Data/speeches/UK/usiness of the House 2010-07-15.json,Business of the House,2.0
48,2010-07-22,Data/speeches/UK/usiness of the House 2010-07-22.json,Business of the House,2.0
49,2010-07-15,Data/speeches/UK/usiness Rates (Small Businesses) 2010-07-15.json,Business Rates (Small Businesses),2.0
50,2010-07-08,Data/speeches/UK/usiness Support (Wales) 2010-07-08.json,Business Support (Wales),2.0
56,2010-07-19,Data/speeches/UK/usiness without Debate 2010-07-19.json,Business without Debate,2.0
62,2010-07-08,"Data/speeches/UK/usiness, Innovation and Skills 2010-07-08.json","Business, Innovation and Skills",2.0
63,2010-07-08,Data/speeches/UK/usinesses (Health and Safety) 2010-07-08.json,Businesses (Health and Safety),2.0
64,2010-07-14,Data/speeches/UK/abinet Office 2010-07-14.json,Cabinet Office,2.0
66,2010-07-13,Data/speeches/UK/apital Gains Tax 2010-07-13.json,Capital Gains Tax,2.0
67,2010-07-19,Data/speeches/UK/arer's Allowance 2010-07-19.json,Carer's Allowance,2.0
69,2010-07-19,Data/speeches/UK/hild Poverty 2010-07-19.json,Child Poverty,2.0
70,2010-07-12,Data/speeches/UK/hild Protection 2010-07-12.json,Child Protection,2.0
71,2010-07-19,Data/speeches/UK/hild Trust Funds (Amendment No. 3) Regulations 2010 2010-07-19.json,Child Trust Funds (Amendment No. 3) Regulations 2010,2.0
73,2010-07-14,Data/speeches/UK/ivil Servants (Terms and Conditions) 2010-07-14.json,Civil Servants (Terms and Conditions),2.0
74,2010-07-14,Data/speeches/UK/ivil Service Compensation Scheme 2010-07-14.json,Civil Service Compensation Scheme,2.0
75,2010-07-22,Data/speeches/UK/ivil Service Recruitment 2010-07-22.json,Civil Service Recruitment,2.0
76,2010-07-19,Data/speeches/UK/oalfields Regeneration Trust (Wentworth and Dearne) 2010-07-19.json,Coalfields Regeneration Trust (Wentworth and Dearne),2.0
77,2010-07-20,Data/speeches/UK/oastal Towns (Government Policy) 2010-07-20.json,Coastal Towns (Government Policy),2.0
78,2010-07-21,Data/speeches/UK/ommission on Scottish Devolution 2010-07-21.json,Commission on Scottish Devolution,2.0
80,2010-07-08,Data/speeches/UK/ommons Chamber 2010-07-08.json,Commons Chamber,2.0
81,2010-07-12,Data/speeches/UK/ommons Chamber 2010-07-12.json,Commons Chamber,2.0
82,2010-07-13,Data/speeches/UK/ommons Chamber 2010-07-13.json,Commons Chamber,2.0
