Unnamed: 0,date,file_path,debate_title,country
1,2011-05-23,Data/speeches/UK/cademies 2011-05-23.json,Academies,2.0
2,2011-05-12,Data/speeches/UK/ccess to Ministers 2011-05-12.json,Access to Ministers,2.0
3,2011-05-23,Data/speeches/UK/doption Rates 2011-05-23.json,Adoption Rates,2.0
4,2011-05-16,Data/speeches/UK/fghanistan 2011-05-16.json,Afghanistan,2.0
5,2011-05-12,Data/speeches/UK/griculture_ Global Food Security 2011-05-12.json,Agriculture: Global Food Security,2.0
6,2011-05-18,Data/speeches/UK/ir Passenger Duty and Developing Economies 2011-05-18.json,Air Passenger Duty and Developing Economies,2.0
7,2011-05-10,Data/speeches/UK/lcohol Duty 2011-05-10.json,Alcohol Duty,2.0
8,2011-05-09,Data/speeches/UK/lcohol Sales (Children) 2011-05-09.json,Alcohol Sales (Children),2.0
9,2011-05-12,Data/speeches/UK/llotments 2011-05-12.json,Allotments,2.0
10,2011-05-09,Data/speeches/UK/ntisocial Behaviour 2011-05-09.json,Antisocial Behaviour,2.0
11,2011-05-16,Data/speeches/UK/rmed Forces Covenant 2011-05-16 (1).json,Armed Forces Covenant,2.0
12,2011-05-16,Data/speeches/UK/rmed Forces Covenant 2011-05-16.json,Armed Forces Covenant,2.0
13,2011-05-16,Data/speeches/UK/rmed Forces Day 2012 2011-05-16.json,Armed Forces Day 2012,2.0
20,2011-05-23,Data/speeches/UK/rts and Culture 2011-05-23.json,Arts and Culture,2.0
21,2011-05-10,Data/speeches/UK/rts_ Local Provision 2011-05-10.json,Arts: Local Provision,2.0
22,2011-05-09,Data/speeches/UK/sylum Seekers 2011-05-09.json,Asylum Seekers,2.0
23,2011-05-17,Data/speeches/UK/sylum Seekers_ Democratic Republic of Congo 2011-05-17.json,Asylum Seekers: Democratic Republic of Congo,2.0
24,2011-05-11,Data/speeches/UK/von Ring Road (M4 Link) 2011-05-11.json,Avon Ring Road (M4 Link),2.0
25,2011-05-11,Data/speeches/UK/ack to Work Agenda 2011-05-11.json,Back to Work Agenda,2.0
28,2011-05-10,Data/speeches/UK/ahrain 2011-05-10.json,Bahrain,2.0
29,2011-05-10,Data/speeches/UK/ank Lending (Small Businesses) 2011-05-10.json,Bank Lending (Small Businesses),2.0
30,2011-05-23,Data/speeches/UK/anking_ Savings Accounts 2011-05-23.json,Banking: Savings Accounts,2.0
31,2011-05-10,Data/speeches/UK/arnett Formula 2011-05-10.json,Barnett Formula,2.0
