Unnamed: 0,date,file_path,debate_title,country
0,07/01/2010,Data/speeches/UK/lternative Medicine_ Astrologers 2010-01-07.json,Alternative Medicine: Astrologers,2.0
1,06/01/2010,Data/speeches/UK/luminium Industry 2010-01-06.json,Aluminium Industry,2.0
5,05/01/2010,Data/speeches/UK/viation and Border Security 2010-01-05.json,Aviation and Border Security,2.0
7,07/01/2010,Data/speeches/UK/ribery Bill [HL] 2010-01-07.json,Bribery Bill [HL],2.0
8,07/01/2010,Data/speeches/UK/usiness of the House 2010-01-07.json,Business of the House,2.0
12,06/01/2010,Data/speeches/UK/ar Scrappage 2010-01-06.json,Car Scrappage,2.0
13,07/01/2010,Data/speeches/UK/arbon Capture and Storage 2010-01-07 (1).json,Carbon Capture and Storage,2.0
14,07/01/2010,Data/speeches/UK/arbon Capture And Storage 2010-01-07.json,Carbon Capture And Storage,2.0
15,05/01/2010,Data/speeches/UK/hild Poverty Bill 2010-01-05 (1).json,Child Poverty Bill,2.0
16,05/01/2010,Data/speeches/UK/hild Poverty Bill 2010-01-05.json,Child Poverty Bill,2.0
17,06/01/2010,Data/speeches/UK/luster Munitions (Prohibitions) Bill [HL] 2010-01-06.json,Cluster Munitions (Prohibitions) Bill [HL],2.0
18,07/01/2010,Data/speeches/UK/o-operative and Community Benefit Societies and Credit Unions Bill [HL] 2010-01-07.json,Co-operative and Community Benefit Societies and Credit Unions Bill [HL],2.0
19,05/01/2010,Data/speeches/UK/ommons Chamber 2010-01-05.json,Commons Chamber,2.0
20,06/01/2010,Data/speeches/UK/ommons Chamber 2010-01-06.json,Commons Chamber,2.0
21,07/01/2010,Data/speeches/UK/ommons Chamber 2010-01-07.json,Commons Chamber,2.0
22,05/01/2010,Data/speeches/UK/ompulsory Transfer Agreements 2010-01-05.json,Compulsory Transfer Agreements,2.0
23,07/01/2010,Data/speeches/UK/ontaminated Blood (Support for Infected and Bereaved Persons) Bill [HL] 2010-01-07.json,Contaminated Blood (Support for Infected and Bereaved Persons) Bill [HL],2.0
24,05/01/2010,Data/speeches/UK/openhagen Climate Change Conference 2010-01-05.json,Copenhagen Climate Change Conference,2.0
25,07/01/2010,Data/speeches/UK/openhagen Conference 2010-01-07 (1).json,Copenhagen Conference,2.0
26,07/01/2010,Data/speeches/UK/openhagen Conference 2010-01-07.json,Copenhagen Conference,2.0
28,05/01/2010,Data/speeches/UK/ourt Cases 2010-01-05.json,Court Cases,2.0
29,07/01/2010,Data/speeches/UK/efence_ Chinook Helicopters 2010-01-07.json,Defence: Chinook Helicopters,2.0
30,05/01/2010,Data/speeches/UK/elegated Legislation 2010-01-05.json,Delegated Legislation,2.0
31,05/01/2010,Data/speeches/UK/epartmental Staff Internet Usage 2010-01-05.json,Departmental Staff Internet Usage,2.0
32,06/01/2010,Data/speeches/UK/igital Economy Bill [HL] 2010-01-06.json,Digital Economy Bill [HL],2.0
33,05/01/2010,Data/speeches/UK/rug Misuse (Prisons) 2010-01-05.json,Drug Misuse (Prisons),2.0
34,06/01/2010,Data/speeches/UK/conomic Inactivity 2010-01-06.json,Economic Inactivity,2.0
35,05/01/2010,Data/speeches/UK/ducation 2010-01-05.json,Education,2.0
36,06/01/2010,Data/speeches/UK/lection of the Deputy Speakers 2010-01-06.json,Election of the Deputy Speakers,2.0
37,05/01/2010,Data/speeches/UK/lectoral System 2010-01-05.json,Electoral System,2.0
38,07/01/2010,Data/speeches/UK/nergy and Climate Change 2010-01-07.json,Energy and Climate Change,2.0
39,06/01/2010,Data/speeches/UK/ngagements 2010-01-06.json,Engagements,2.0
42,06/01/2010,Data/speeches/UK/aith Buildings 2010-01-06.json,Faith Buildings,2.0
43,05/01/2010,Data/speeches/UK/iscal Responsibility Bill 2010-01-05.json,Fiscal Responsibility Bill,2.0
44,07/01/2010,Data/speeches/UK/uel Inefficiency 2010-01-07.json,Fuel Inefficiency,2.0
45,07/01/2010,Data/speeches/UK/uel Poverty 2010-01-07.json,Fuel Poverty,2.0
46,06/01/2010,Data/speeches/UK/unding and Finance for Wales 2010-01-06.json,Funding and Finance for Wales,2.0
47,06/01/2010,Data/speeches/UK/uture Jobs Fund 2010-01-06.json,Future Jobs Fund,2.0
48,06/01/2010,Data/speeches/UK/rand Committee 2010-01-06 (1).json,Grand Committee,2.0
50,07/01/2010,Data/speeches/UK/rand Committee 2010-01-07 (1).json,Grand Committee,2.0
52,07/01/2010,Data/speeches/UK/reenhouse Gas Emissions (Aircraft) 2010-01-07.json,Greenhouse Gas Emissions (Aircraft),2.0
53,07/01/2010,Data/speeches/UK/ealth_ Obesity 2010-01-07.json,Health: Obesity,2.0
58,06/01/2010,Data/speeches/UK/ouse of Commons Reform 2010-01-06.json,House of Commons Reform,2.0
62,07/01/2010,Data/speeches/UK/ouse of Lords_ Procedures 2010-01-07.json,House of Lords: Procedures,2.0
63,07/01/2010,Data/speeches/UK/ouse of Lords_ Secretaries of State 2010-01-07.json,House of Lords: Secretaries of State,2.0
64,06/01/2010,Data/speeches/UK/mmigration Control 2010-01-06.json,Immigration Control,2.0
65,05/01/2010,Data/speeches/UK/ndependent Safeguarding Authority 2010-01-05.json,Independent Safeguarding Authority,2.0
66,06/01/2010,Data/speeches/UK/ran 2010-01-06.json,Iran,2.0
67,05/01/2010,Data/speeches/UK/sland Transport Services 2010-01-05.json,Island Transport Services,2.0
68,05/01/2010,Data/speeches/UK/ustice 2010-01-05.json,Justice,2.0
69,05/01/2010,Data/speeches/UK/and Registry (Croydon) 2010-01-05.json,Land Registry (Croydon),2.0
71,07/01/2010,Data/speeches/UK/obbying (Whitehall) 2010-01-07.json,Lobbying (Whitehall),2.0
72,05/01/2010,Data/speeches/UK/ords Chamber 2010-01-05.json,Lords Chamber,2.0
73,06/01/2010,Data/speeches/UK/ords Chamber 2010-01-06.json,Lords Chamber,2.0
74,07/01/2010,Data/speeches/UK/ords Chamber 2010-01-07.json,Lords Chamber,2.0
75,06/01/2010,Data/speeches/UK/aidstone East Line 2010-01-06.json,Maidstone East Line,2.0
76,05/01/2010,Data/speeches/UK/obility Scooters 2010-01-05.json,Mobility Scooters,2.0
77,06/01/2010,Data/speeches/UK/ountain Rescue 2010-01-06.json,Mountain Rescue,2.0
78,06/01/2010,Data/speeches/UK/ultiple Births 2010-01-06.json,Multiple Births,2.0
80,06/01/2010,Data/speeches/UK/HS_ Feeding 2010-01-06.json,NHS: Feeding,2.0
82,05/01/2010,Data/speeches/UK/on-Domicile Tax Status 2010-01-05.json,Non-Domicile Tax Status,2.0
83,07/01/2010,Data/speeches/UK/uclear Waste 2010-01-07.json,Nuclear Waste,2.0
84,05/01/2010,Data/speeches/UK/fqual 2010-01-05.json,Ofqual,2.0
85,05/01/2010,Data/speeches/UK/lympic and Paralympic Games 2012 2010-01-05.json,Olympic and Paralympic Games 2012,2.0
86,05/01/2010,Data/speeches/UK/ral Answers to Questions 2010-01-05.json,Oral Answers to Questions,2.0
87,06/01/2010,Data/speeches/UK/ral Answers to Questions 2010-01-06.json,Oral Answers to Questions,2.0
88,07/01/2010,Data/speeches/UK/ral Answers to Questions 2010-01-07.json,Oral Answers to Questions,2.0
92,05/01/2010,Data/speeches/UK/oint of Order 2010-01-05.json,Point of Order,2.0
93,06/01/2010,Data/speeches/UK/oint of Order 2010-01-06.json,Point of Order,2.0
94,07/01/2010,Data/speeches/UK/oint of Order 2010-01-07.json,Point of Order,2.0
97,07/01/2010,Data/speeches/UK/rayers 2010-01-07.json,Prayers,2.0
98,07/01/2010,Data/speeches/UK/re-Budget Report 2010-01-07.json,Pre-Budget Report,2.0
99,06/01/2010,Data/speeches/UK/rime Minister 2010-01-06.json,Prime Minister,2.0
100,05/01/2010,Data/speeches/UK/rison Population 2010-01-05.json,Prison Population,2.0
101,05/01/2010,Data/speeches/UK/ublic Funding_ Museums and Galleries 2010-01-05.json,Public Funding: Museums and Galleries,2.0
102,06/01/2010,Data/speeches/UK/AF Lyneham (Strategic Defence) 2010-01-06.json,RAF Lyneham (Strategic Defence),2.0
103,06/01/2010,Data/speeches/UK/ailways_ Eurostar 2010-01-06.json,Railways: Eurostar,2.0
105,06/01/2010,Data/speeches/UK/oad Accidents 2010-01-06.json,Road Accidents,2.0
106,07/01/2010,Data/speeches/UK/alt Reserves 2010-01-07.json,Salt Reserves,2.0
107,07/01/2010,Data/speeches/UK/evern Barrage 2010-01-07.json,Severn Barrage,2.0
109,06/01/2010,Data/speeches/UK/ittings of the House 2010-01-06.json,Sittings of the House,2.0
110,05/01/2010,Data/speeches/UK/outhend-on-Sea 2010-01-05.json,Southend-on-Sea,2.0
111,05/01/2010,Data/speeches/UK/outhview Probation Hostel 2010-01-05.json,Southview Probation Hostel,2.0
112,07/01/2010,Data/speeches/UK/udan 2010-01-07.json,Sudan,2.0
113,05/01/2010,Data/speeches/UK/axation (International and Other Provisions) Bill (Ways and Means) 2010-01-05.json,Taxation (International and Other Provisions) Bill (Ways and Means),2.0
114,05/01/2010,Data/speeches/UK/errorism_ Aviation and Border Security 2010-01-05.json,Terrorism: Aviation and Border Security,2.0
116,07/01/2010,Data/speeches/UK/idal Energy 2010-01-07.json,Tidal Energy,2.0
117,05/01/2010,Data/speeches/UK/opical Questions 2010-01-05.json,Topical Questions,2.0
118,07/01/2010,Data/speeches/UK/opical Questions 2010-01-07.json,Topical Questions,2.0
119,05/01/2010,Data/speeches/UK/reasury Accounting (Natural Capital) 2010-01-05.json,Treasury Accounting (Natural Capital),2.0
120,07/01/2010,Data/speeches/UK/mbilical Cord Blood 2010-01-07.json,Umbilical Cord Blood,2.0
121,06/01/2010,Data/speeches/UK/ideo Recordings Bill (Allocation of Time) 2010-01-06.json,Video Recordings Bill (Allocation of Time),2.0
122,06/01/2010,Data/speeches/UK/ideo Recordings Bill 2010-01-06 (1).json,Video Recordings Bill,2.0
123,06/01/2010,Data/speeches/UK/ideo Recordings Bill 2010-01-06.json,Video Recordings Bill,2.0
124,07/01/2010,Data/speeches/UK/ideo Recordings Bill 2010-01-07.json,Video Recordings Bill,2.0
125,05/01/2010,Data/speeches/UK/oting (Service Personnel) 2010-01-05.json,Voting (Service Personnel),2.0
126,05/01/2010,Data/speeches/UK/oting Age 2010-01-05.json,Voting Age,2.0
127,06/01/2010,Data/speeches/UK/ales 2010-01-06.json,Wales,2.0
128,06/01/2010,Data/speeches/UK/est Yorkshire Police (Funding) 2010-01-06.json,West Yorkshire Police (Funding),2.0
129,05/01/2010,Data/speeches/UK/estminster Hall 2010-01-05 (1).json,Westminster Hall,2.0
131,06/01/2010,Data/speeches/UK/estminster Hall 2010-01-06 (1).json,Westminster Hall,2.0
133,07/01/2010,Data/speeches/UK/estminster Hall 2010-01-07 (1).json,Westminster Hall,2.0
135,07/01/2010,Data/speeches/UK/ind Energy 2010-01-07.json,Wind Energy,2.0
136,06/01/2010,Data/speeches/UK/ind Farms (Montgomeryshire) 2010-01-06.json,Wind Farms (Montgomeryshire),2.0
137,05/01/2010,Data/speeches/UK/emen 2010-01-05.json,Yemen,2.0
138,06/01/2010,Data/speeches/UK/outh Employment 2010-01-06.json,Youth Employment,2.0
