Unnamed: 0,date,file_path,debate_title,country
0,2010-05-18,Data/speeches/UK/ommons Chamber 2010-05-18.json,Commons Chamber,2.0
1,2010-05-19,Data/speeches/UK/ommons Chamber 2010-05-19.json,Commons Chamber,2.0
4,2010-05-18,Data/speeches/UK/lection of Speaker 2010-05-18.json,Election of Speaker,2.0
12,2010-05-19,Data/speeches/UK/ords Chamber 2010-05-19.json,Lords Chamber,2.0
13,2010-05-19,Data/speeches/UK/embers Sworn 2010-05-19.json,Members Sworn,2.0
22,2010-05-19,Data/speeches/UK/peaker of the House of Commons 2010-05-19.json,Speaker of the House of Commons,2.0
