Unnamed: 0,date,file_path,debate_title,country
0,2011-05-05,Data/speeches/UK/012 Olympics (Transport Network) 2011-05-05.json,2012 Olympics (Transport Network),2.0
1,2011-04-26,"Data/speeches/UK/ccession (Immigration and Worker Registration) (Revocation, Savings and Consequential Provisions) Regulations 2011 2011-04-26.json","Accession (Immigration and Worker Registration) (Revocation, Savings and Consequential Provisions) Regulations 2011",2.0
2,2011-04-26,Data/speeches/UK/cute Services (Trafford) 2011-04-26.json,Acute Services (Trafford),2.0
8,2011-05-04,Data/speeches/UK/anking Failure 2011-05-04.json,Banking Failure,2.0
9,2011-05-05,Data/speeches/UK/arking_Gospel Oak Line (Electrification) 2011-05-05.json,Barking/Gospel Oak Line (Electrification),2.0
10,2011-04-28,Data/speeches/UK/BC Expenditure 2011-04-28.json,BBC Expenditure,2.0
11,2011-04-27,Data/speeches/UK/ig Society 2011-04-27.json,Big Society,2.0
12,2011-04-27,Data/speeches/UK/ig Society Bank 2011-04-27 (1).json,Big Society Bank,2.0
13,2011-04-27,Data/speeches/UK/ig Society Bank 2011-04-27.json,Big Society Bank,2.0
14,2011-05-03,Data/speeches/UK/radley Manning 2011-05-03.json,Bradley Manning,2.0
15,2011-04-28,Data/speeches/UK/roadband 2011-04-28.json,Broadband,2.0
16,2011-04-27,Data/speeches/UK/rown Signs 2011-04-27.json,Brown Signs,2.0
17,2011-05-03,Data/speeches/UK/udget (Coventry) 2011-05-03.json,Budget (Coventry),2.0
18,2011-04-28,Data/speeches/UK/usiness of the House 2011-04-28.json,Business of the House,2.0
19,2011-05-05,Data/speeches/UK/usiness of the House 2011-05-05.json,Business of the House,2.0
24,2011-04-27,Data/speeches/UK/abinet Office 2011-04-27.json,Cabinet Office,2.0
25,2011-04-26,Data/speeches/UK/amp Ashraf 2011-04-26.json,Camp Ashraf,2.0
26,2011-04-27,Data/speeches/UK/harities (Pre-consolidation Amendments) Order 2011 2011-04-27.json,Charities (Pre-consolidation Amendments) Order 2011,2.0
28,2011-05-05,Data/speeches/UK/harities Bill [HL] 2011-05-05.json,Charities Bill [HL],2.0
29,2011-05-04,Data/speeches/UK/harity Commission_ Bogus Charities 2011-05-04.json,Charity Commission: Bogus Charities,2.0
30,2011-05-05,Data/speeches/UK/hechnya and the North Caucasus 2011-05-05.json,Chechnya and the North Caucasus,2.0
31,2011-05-03,Data/speeches/UK/hildhood Obesity 2011-05-03.json,Childhood Obesity,2.0
32,2011-04-26,Data/speeches/UK/hildren with Disabilities 2011-04-26.json,Children with Disabilities,2.0
33,2011-04-28,Data/speeches/UK/ity of London (Various Powers) Bill [HL] 2011-04-28.json,City of London (Various Powers) Bill [HL],2.0
34,2011-04-27,Data/speeches/UK/ivil Contingencies Act 2004 (Amendment of List of Responders) Order 2011 2011-04-27.json,Civil Contingencies Act 2004 (Amendment of List of Responders) Order 2011,2.0
36,2011-05-05,Data/speeches/UK/ivil Partnership 2011-05-05.json,Civil Partnership,2.0
37,2011-04-26,Data/speeches/UK/lerk Assistant 2011-04-26.json,Clerk Assistant,2.0
38,2011-04-26,Data/speeches/UK/lerk of the Parliaments 2011-04-26 (1).json,Clerk of the Parliaments,2.0
41,2011-04-26,Data/speeches/UK/ommons Chamber 2011-04-26.json,Commons Chamber,2.0
42,2011-04-27,Data/speeches/UK/ommons Chamber 2011-04-27.json,Commons Chamber,2.0
