Unnamed: 0,date,file_path,debate_title,country
0,2010-03-09,Data/speeches/UK/012 Olympics (Employment) 2010-03-09.json,2012 Olympics (Employment),2.0
1,2010-03-08,Data/speeches/UK/cademic and Vocational Qualifications 2010-03-08.json,Academic and Vocational Qualifications,2.0
2,2010-03-08,Data/speeches/UK/cademies 2010-03-08.json,Academies,2.0
3,2010-03-04,Data/speeches/UK/ccess to Credit 2010-03-04.json,Access to Credit,2.0
4,2010-03-02,Data/speeches/UK/fghanistan 2010-03-02.json,Afghanistan,2.0
5,2010-03-03,Data/speeches/UK/fghanistan_ Minerals and Gemstones 2010-03-03.json,Afghanistan: Minerals and Gemstones,2.0
6,2010-02-24,Data/speeches/UK/griculture_ Dairy 2010-02-24.json,Agriculture: Dairy,2.0
7,2010-03-10,Data/speeches/UK/lcohol 2010-03-10.json,Alcohol,2.0
9,2010-03-05,Data/speeches/UK/nti-Slavery Day Bill 2010-03-05.json,Anti-Slavery Day Bill,2.0
11,2010-03-01,Data/speeches/UK/pprenticeships (Olympic Park Site) 2010-03-01.json,Apprenticeships (Olympic Park Site),2.0
12,2010-03-04,Data/speeches/UK/pprenticeships (West Midlands) 2010-03-04.json,Apprenticeships (West Midlands),2.0
22,2010-03-04,Data/speeches/UK/ank Lending (Businesses) 2010-03-04.json,Bank Lending (Businesses),2.0
23,2010-02-24,Data/speeches/UK/anks 2010-02-24.json,Banks,2.0
24,2010-02-25,Data/speeches/UK/anks_ Lending 2010-02-25.json,Banks: Lending,2.0
25,2010-02-24,Data/speeches/UK/eam Park West Prison Site 2010-02-24.json,Beam Park West Prison Site,2.0
27,2010-03-02,Data/speeches/UK/ermuda (Buckfast Prohibition) 2010-03-02.json,Bermuda (Buckfast Prohibition),2.0
28,2010-02-25,Data/speeches/UK/oiler Scrappage Scheme 2010-02-25.json,Boiler Scrappage Scheme,2.0
29,2010-03-03,Data/speeches/UK/ribery Bill [Lords] 2010-03-03 (1).json,Bribery Bill [Lords],2.0
30,2010-03-03,Data/speeches/UK/ribery Bill [Lords] 2010-03-03.json,Bribery Bill [Lords],2.0
31,2010-03-10,Data/speeches/UK/ritish Indian Ocean Territory 2010-03-10.json,British Indian Ocean Territory,2.0
32,2010-02-23,Data/speeches/UK/ritish Pubs 2010-02-23.json,British Pubs,2.0
33,2010-03-01,Data/speeches/UK/roadcasting (Impartiality) 2010-03-01.json,Broadcasting (Impartiality),2.0
34,2010-03-05,Data/speeches/UK/uilding Regulations (Amendment) Bill [HL] 2010-03-05.json,Building Regulations (Amendment) Bill [HL],2.0
35,2010-03-08,Data/speeches/UK/uilding Schools for the Future 2010-03-08.json,Building Schools for the Future,2.0
36,2010-03-04,Data/speeches/UK/usiness Credit 2010-03-04.json,Business Credit,2.0
38,2010-02-25,Data/speeches/UK/usiness of the House 2010-02-25.json,Business of the House,2.0
40,2010-03-04,Data/speeches/UK/usiness of the House 2010-03-04 (1).json,Business of the House,2.0
42,2010-03-04,Data/speeches/UK/usiness of the House 2010-03-04.json,Business of the House,2.0
46,2010-02-24,Data/speeches/UK/usiness without Debate 2010-02-24.json,Business without Debate,2.0
47,2010-02-26,Data/speeches/UK/usiness without Debate 2010-02-26.json,Business without Debate,2.0
51,2010-03-05,Data/speeches/UK/usiness without Debate 2010-03-05.json,Business without Debate,2.0
55,2010-03-04,"Data/speeches/UK/usiness, Innovation and Skills 2010-03-04.json","Business, Innovation and Skills",2.0
56,2010-03-04,Data/speeches/UK/usinesses_ Late Payment of Debts 2010-03-04.json,Businesses: Late Payment of Debts,2.0
57,2010-03-10,Data/speeches/UK/abinet Meeting (Durham) 2010-03-10.json,Cabinet Meeting (Durham),2.0
58,2010-03-10,Data/speeches/UK/abinet Office 2010-03-10.json,Cabinet Office,2.0
59,2010-02-24,Data/speeches/UK/alman Commission 2010-02-24.json,Calman Commission,2.0
60,2010-02-23,Data/speeches/UK/ancer Operations 2010-02-23.json,Cancer Operations,2.0
61,2010-02-25,Data/speeches/UK/arbon Emission Reduction (Local Government) 2010-02-25.json,Carbon Emission Reduction (Local Government),2.0
62,2010-03-05,Data/speeches/UK/are Homes and Sheltered Accommodation (Domestic Pets) Bill 2010-03-05.json,Care Homes and Sheltered Accommodation (Domestic Pets) Bill,2.0
64,2010-03-04,Data/speeches/UK/hair (Terminology) 2010-03-04.json,Chair (Terminology),2.0
65,2010-02-24,Data/speeches/UK/hild Migration 2010-02-24 (1).json,Child Migration,2.0
66,2010-02-24,Data/speeches/UK/hild Migration 2010-02-24.json,Child Migration,2.0
68,2010-03-09,Data/speeches/UK/hild Poverty Bill 2010-03-09 (1).json,Child Poverty Bill,2.0
69,2010-03-09,Data/speeches/UK/hild Poverty Bill 2010-03-09.json,Child Poverty Bill,2.0
71,2010-03-08,Data/speeches/UK/hild Trust Funds (Amendment) Regulations 2010 2010-03-08.json,Child Trust Funds (Amendment) Regulations 2010,2.0
72,2010-03-08,"Data/speeches/UK/hildren, Schools and Families 2010-03-08.json","Children, Schools and Families",2.0
73,2010-02-23,"Data/speeches/UK/hildren, Schools and Families Bill 2010-02-23.json","Children, Schools and Families Bill",2.0
