Unnamed: 0,date,file_path,debate_title,country
1,2010-07-26,Data/speeches/UK/012 Olympics (North-west) 2010-07-26.json,2012 Olympics (North-west),2.0
2,2010-07-27,Data/speeches/UK/11 (Dualling) 2010-07-27.json,A11 (Dualling),2.0
4,2010-07-26,Data/speeches/UK/cademies Bill [Lords] 2010-07-26.json,Academies Bill [Lords],2.0
7,2010-07-28,Data/speeches/UK/fghanistan 2010-07-28.json,Afghanistan,2.0
8,2010-07-27,Data/speeches/UK/griculture_ CAP Direct Payments 2010-07-27.json,Agriculture: CAP Direct Payments,2.0
9,2010-07-26,Data/speeches/UK/griculture_ Dairy Industry 2010-07-26.json,Agriculture: Dairy Industry,2.0
11,2010-07-27,Data/speeches/UK/nnual Energy Statement 2010-07-27.json,Annual Energy Statement,2.0
12,2010-07-27,Data/speeches/UK/ttorney-General 2010-07-27.json,Attorney-General,2.0
13,2010-07-27,Data/speeches/UK/V Referendum (Scotland) 2010-07-27.json,AV Referendum (Scotland),2.0
15,2010-07-28,Data/speeches/UK/anks_ Business Lending 2010-07-28.json,Banks: Business Lending,2.0
16,2010-07-26,Data/speeches/UK/BC Accounts 2010-07-26.json,BBC Accounts,2.0
17,2010-07-28,Data/speeches/UK/iodiversity 2010-07-28.json,Biodiversity,2.0
19,2010-07-27,Data/speeches/UK/oundary Changes 2010-07-27.json,Boundary Changes,2.0
20,2010-07-27,Data/speeches/UK/urton upon Trent County Court 2010-07-27.json,Burton upon Trent County Court,2.0
24,2010-07-27,Data/speeches/UK/athedral Restoration 2010-07-27.json,Cathedral Restoration,2.0
25,2010-07-27,Data/speeches/UK/hildren_ Trafficking 2010-07-27.json,Children: Trafficking,2.0
26,2010-07-27,Data/speeches/UK/hurch Commissioners 2010-07-27 (1).json,Church Commissioners,2.0
27,2010-07-27,Data/speeches/UK/hurch Commissioners 2010-07-27.json,Church Commissioners,2.0
29,2010-07-26,Data/speeches/UK/ommons Chamber 2010-07-26.json,Commons Chamber,2.0
30,2010-07-27,Data/speeches/UK/ommons Chamber 2010-07-27.json,Commons Chamber,2.0
34,2010-07-26,Data/speeches/UK/oventry Market 2010-07-26.json,Coventry Market,2.0
35,2010-07-26,Data/speeches/UK/reative Partnerships 2010-07-26.json,Creative Partnerships,2.0
36,2010-07-26,"Data/speeches/UK/ulture, Media and Sport 2010-07-26.json","Culture, Media and Sport",2.0
37,2010-07-27,Data/speeches/UK/efendant Anonymity 2010-07-27.json,Defendant Anonymity,2.0
40,2010-07-27,Data/speeches/UK/emocratic Process (Engagement) 2010-07-27.json,Democratic Process (Engagement),2.0
41,2010-07-27,Data/speeches/UK/eputy Prime Minister 2010-07-27.json,Deputy Prime Minister,2.0
42,2010-07-26,Data/speeches/UK/igital Economy Act 2010 2010-07-26.json,Digital Economy Act 2010,2.0
43,2010-07-27,Data/speeches/UK/isabled People 2010-07-27.json,Disabled People,2.0
45,2010-07-27,Data/speeches/UK/omestic Violence 2010-07-27.json,Domestic Violence,2.0
46,2010-07-26,Data/speeches/UK/arly-day Motions 2010-07-26 (1).json,Early-day Motions,2.0
47,2010-07-26,Data/speeches/UK/arly-day Motions 2010-07-26.json,Early-day Motions,2.0
48,2010-07-27,Data/speeches/UK/lectoral Commission Committee 2010-07-27 (1).json,Electoral Commission Committee,2.0
49,2010-07-27,Data/speeches/UK/lectoral Commission Committee 2010-07-27 (2).json,Electoral Commission Committee,2.0
50,2010-07-27,Data/speeches/UK/lectoral Commission Committee 2010-07-27.json,Electoral Commission Committee,2.0
51,2010-07-27,Data/speeches/UK/lectoral Reform 2010-07-27.json,Electoral Reform,2.0
