Unnamed: 0,date,file_path,debate_title,country
0,2010-02-09,Data/speeches/UK/ccess to the Countryside (Coastal Margin) (England) Order 2010 2010-02-09.json,Access to the Countryside (Coastal Margin) (England) Order 2010,2.0
1,2010-02-08,Data/speeches/UK/dvisory Council on the Misuse of Drugs 2010-02-08.json,Advisory Council on the Misuse of Drugs,2.0
2,2010-02-22,Data/speeches/UK/fghanistan 2010-02-22 (1).json,Afghanistan,2.0
3,2010-02-22,Data/speeches/UK/fghanistan 2010-02-22.json,Afghanistan,2.0
4,2010-02-22,Data/speeches/UK/fghanistan_ Improvised Explosive Devices 2010-02-22.json,Afghanistan: Improvised Explosive Devices,2.0
5,2010-02-08,Data/speeches/UK/irports_ Heathrow 2010-02-08.json,Airports: Heathrow,2.0
6,2010-02-09,Data/speeches/UK/lcohol Fraud 2010-02-09.json,Alcohol Fraud,2.0
7,2010-02-08,Data/speeches/UK/lcohol-related Crime 2010-02-08.json,Alcohol-related Crime,2.0
10,2010-02-10,Data/speeches/UK/rmed Forces Compensation Scheme 2010-02-10.json,Armed Forces Compensation Scheme,2.0
16,2010-02-09,Data/speeches/UK/sylum (Designated States) Order 2010 2010-02-09.json,Asylum (Designated States) Order 2010,2.0
17,2010-02-09,Data/speeches/UK/ail Hostels 2010-02-09.json,Bail Hostels,2.0
18,2010-02-10,Data/speeches/UK/ank Loans 2010-02-10.json,Bank Loans,2.0
19,2010-02-10,Data/speeches/UK/inyam Mohamed 2010-02-10.json,Binyam Mohamed,2.0
20,2010-02-10,Data/speeches/UK/ovine Tuberculosis 2010-02-10.json,Bovine Tuberculosis,2.0
21,2010-02-08,Data/speeches/UK/ribery Bill [HL] 2010-02-08.json,Bribery Bill [HL],2.0
22,2010-02-22,Data/speeches/UK/ritish Passports (Dubai) 2010-02-22.json,British Passports (Dubai),2.0
23,2010-02-23,Data/speeches/UK/ritish Pubs 2010-02-23.json,British Pubs,2.0
24,2010-02-09,Data/speeches/UK/urglary Sentences 2010-02-09.json,Burglary Sentences,2.0
29,2010-02-22,Data/speeches/UK/usiness without Debate 2010-02-22.json,Business without Debate,2.0
31,2010-02-23,Data/speeches/UK/ancer Operations 2010-02-23.json,Cancer Operations,2.0
32,2010-02-22,Data/speeches/UK/anvey War Memorial Fund 2010-02-22.json,Canvey War Memorial Fund,2.0
33,2010-02-09,Data/speeches/UK/hild Poverty (London) 2010-02-09.json,Child Poverty (London),2.0
34,2010-02-08,Data/speeches/UK/hild Poverty Bill 2010-02-08.json,Child Poverty Bill,2.0
35,2010-02-23,"Data/speeches/UK/hildren, Schools and Families Bill 2010-02-23.json","Children, Schools and Families Bill",2.0
36,2010-02-09,Data/speeches/UK/ivil Litigation Costs 2010-02-09.json,Civil Litigation Costs,2.0
37,2010-02-09,Data/speeches/UK/limate Change (Bangladesh) 2010-02-09.json,Climate Change (Bangladesh),2.0
38,2010-02-08,Data/speeches/UK/luster Munitions (Prohibitions) Bill [HL] 2010-02-08.json,Cluster Munitions (Prohibitions) Bill [HL],2.0
39,2010-02-08,Data/speeches/UK/ommons Chamber 2010-02-08.json,Commons Chamber,2.0
40,2010-02-09,Data/speeches/UK/ommons Chamber 2010-02-09.json,Commons Chamber,2.0
