Unnamed: 0,date,file_path,debate_title,country
1,2010-10-06,Data/speeches/UK/ahrain 2010-10-06.json,Bahrain,2.0
2,2010-10-06,Data/speeches/UK/ank of England_ Economic Forecast 2010-10-06.json,Bank of England: Economic Forecast,2.0
3,2010-10-05,Data/speeches/UK/haritable Sector 2010-10-05.json,Charitable Sector,2.0
5,2010-10-06,Data/speeches/UK/conomy_ Spending Cuts 2010-10-06.json,Economy: Spending Cuts,2.0
6,2010-10-05,Data/speeches/UK/lections_ Fraud 2010-10-05.json,Elections: Fraud,2.0
7,2010-10-05,Data/speeches/UK/lections_ Voting Systems 2010-10-05.json,Elections: Voting Systems,2.0
8,2010-10-05,Data/speeches/UK/overnment_ Ministerial Cars 2010-10-05.json,Government: Ministerial Cars,2.0
9,2010-10-06,Data/speeches/UK/ealth_ Addiction to Prescribed Drugs 2010-10-06.json,Health: Addiction to Prescribed Drugs,2.0
13,2010-10-05,Data/speeches/UK/ocal Government Bill [HL] 2010-10-05.json,Local Government Bill [HL],2.0
14,2010-10-05,Data/speeches/UK/ords Chamber 2010-10-05.json,Lords Chamber,2.0
15,2010-10-06,Data/speeches/UK/ords Chamber 2010-10-06.json,Lords Chamber,2.0
16,2010-10-06,Data/speeches/UK/arking and Traffic Offences 2010-10-06.json,Parking and Traffic Offences,2.0
17,2010-10-05,Data/speeches/UK/oads_ Speed Cameras 2010-10-05.json,Roads: Speed Cameras,2.0
18,2010-10-06,Data/speeches/UK/errorist Asset-Freezing etc. Bill [HL] 2010-10-06 (1).json,Terrorist Asset-Freezing etc. Bill [HL],2.0
19,2010-10-06,Data/speeches/UK/errorist Asset-Freezing etc. Bill [HL] 2010-10-06.json,Terrorist Asset-Freezing etc. Bill [HL],2.0
20,2010-10-05,Data/speeches/UK/elfare Reform 2010-10-05.json,Welfare Reform,2.0
