Unnamed: 0,date,file_path,debate_title,country
307,2010-10-19,Data/speeches/UK/port_ Cricket 2010-10-19.json,Sport: Cricket,2.0
308,2010-10-13,Data/speeches/UK/ri Lanka 2010-10-13.json,Sri Lanka,2.0
309,2010-10-21,Data/speeches/UK/tandards Board for England 2010-10-21.json,Standards Board for England,2.0
310,2010-10-19,Data/speeches/UK/trategic Defence and Security Review 2010-10-19 (1).json,Strategic Defence and Security Review,2.0
311,2010-10-19,Data/speeches/UK/trategic Defence and Security Review 2010-10-19.json,Strategic Defence and Security Review,2.0
312,2010-10-20,Data/speeches/UK/ubsidiarity Assessment_ Seasonal Workers (EUC Report) 2010-10-20.json,Subsidiarity Assessment: Seasonal Workers (EUC Report),2.0
314,2010-10-13,Data/speeches/UK/uperannuation Bill 2010-10-13.json,Superannuation Bill,2.0
316,2010-10-21,Data/speeches/UK/ustainable Development 2010-10-21.json,Sustainable Development,2.0
317,2010-10-12,Data/speeches/UK/ax Collection 2010-10-12.json,Tax Collection,2.0
318,2010-10-12,Data/speeches/UK/ax Compliance 2010-10-12.json,Tax Compliance,2.0
319,2010-10-12,Data/speeches/UK/ax System 2010-10-12 (1).json,Tax System,2.0
320,2010-10-12,Data/speeches/UK/ax System 2010-10-12.json,Tax System,2.0
321,2010-10-12,Data/speeches/UK/ax Take (East Midlands) 2010-10-12.json,Tax Take (East Midlands),2.0
322,2010-10-20,Data/speeches/UK/axation_ Avoidance 2010-10-20.json,Taxation: Avoidance,2.0
323,2010-10-11,Data/speeches/UK/axation_ Income Tax 2010-10-11.json,Taxation: Income Tax,2.0
324,2010-10-20,Data/speeches/UK/elevision and Radio Reception (Thanet and East Kent) 2010-10-20.json,Television and Radio Reception (Thanet and East Kent),2.0
325,2010-10-06,Data/speeches/UK/errorist Asset-Freezing etc. Bill [HL] 2010-10-06 (1).json,Terrorist Asset-Freezing etc. Bill [HL],2.0
326,2010-10-06,Data/speeches/UK/errorist Asset-Freezing etc. Bill [HL] 2010-10-06.json,Terrorist Asset-Freezing etc. Bill [HL],2.0
327,2010-10-11,Data/speeches/UK/opical Questions 2010-10-11.json,Topical Questions,2.0
328,2010-10-12,Data/speeches/UK/opical Questions 2010-10-12.json,Topical Questions,2.0
329,2010-10-14,Data/speeches/UK/opical Questions 2010-10-14.json,Topical Questions,2.0
330,2010-10-18,Data/speeches/UK/opical Questions 2010-10-18.json,Topical Questions,2.0
331,2010-10-19,Data/speeches/UK/opical Questions 2010-10-19.json,Topical Questions,2.0
332,2010-10-21,Data/speeches/UK/opical Questions 2010-10-21.json,Topical Questions,2.0
333,2010-10-12,Data/speeches/UK/ourette Syndrome 2010-10-12.json,Tourette Syndrome,2.0
334,2010-10-13,Data/speeches/UK/ransparency 2010-10-13.json,Transparency,2.0
335,2010-10-12,Data/speeches/UK/reasury 2010-10-12.json,Treasury,2.0
336,2010-10-14,Data/speeches/UK/uition Fees 2010-10-14.json,Tuition Fees,2.0
337,2010-10-13,Data/speeches/UK/K-Israeli Co-operation 2010-10-13.json,UK-Israeli Co-operation,2.0
338,2010-10-13,Data/speeches/UK/alue for Money 2010-10-13.json,Value for Money,2.0
339,2010-10-19,Data/speeches/UK/AT (Charities) 2010-10-19.json,VAT (Charities),2.0
340,2010-10-12,Data/speeches/UK/AT (Small Businesses) 2010-10-12.json,VAT (Small Businesses),2.0
341,2010-10-19,Data/speeches/UK/ictim Support 2010-10-19.json,Victim Support,2.0
342,2010-10-11,Data/speeches/UK/ocational Education 2010-10-11.json,Vocational Education,2.0
343,2010-10-20,Data/speeches/UK/olunteering (Young People) 2010-10-20.json,Volunteering (Young People),2.0
344,2010-10-19,Data/speeches/UK/ulnerable People (Legal Representation) 2010-10-19.json,Vulnerable People (Legal Representation),2.0
345,2010-10-19,Data/speeches/UK/ulnerable Women (Alternatives to Custody) 2010-10-19.json,Vulnerable Women (Alternatives to Custody),2.0
346,2010-10-19,Data/speeches/UK/edgwood Museum 2010-10-19.json,Wedgwood Museum,2.0
347,2010-10-11,Data/speeches/UK/elfare Reform 2010-10-11 (1).json,Welfare Reform,2.0
348,2010-10-11,Data/speeches/UK/elfare Reform 2010-10-11.json,Welfare Reform,2.0
349,2010-10-12,Data/speeches/UK/estminster Hall 2010-10-12 (1).json,Westminster Hall,2.0
351,2010-10-13,Data/speeches/UK/estminster Hall 2010-10-13 (1).json,Westminster Hall,2.0
353,2010-10-14,Data/speeches/UK/estminster Hall 2010-10-14 (1).json,Westminster Hall,2.0
355,2010-10-19,Data/speeches/UK/estminster Hall 2010-10-19 (1).json,Westminster Hall,2.0
357,2010-10-20,Data/speeches/UK/estminster Hall 2010-10-20 (1).json,Westminster Hall,2.0
359,2010-10-21,Data/speeches/UK/estminster Hall 2010-10-21 (1).json,Westminster Hall,2.0
361,2010-10-12,Data/speeches/UK/hips Offices 2010-10-12.json,Whips Offices,2.0
362,2010-10-11,Data/speeches/UK/hite Working-Class Boys (Educational Under-Achievement) 2010-10-11.json,White Working-Class Boys (Educational Under-Achievement),2.0
363,2010-10-18,Data/speeches/UK/inter Fuel Allowance 2010-10-18.json,Winter Fuel Allowance,2.0
364,2010-10-18,Data/speeches/UK/ork and Pensions 2010-10-18.json,Work and Pensions,2.0
365,2010-10-18,Data/speeches/UK/ork Capability Assessment 2010-10-18 (1).json,Work Capability Assessment,2.0
366,2010-10-18,Data/speeches/UK/ork Capability Assessment 2010-10-18.json,Work Capability Assessment,2.0
367,2010-10-18,Data/speeches/UK/ork Programme 2010-10-18.json,Work Programme,2.0
368,2010-10-18,Data/speeches/UK/orkplace Pensions (Automatic Enrolment) 2010-10-18.json,Workplace Pensions (Automatic Enrolment),2.0
369,2010-10-13,Data/speeches/UK/emen 2010-10-13.json,Yemen,2.0
370,2010-10-19,Data/speeches/UK/oung Offenders 2010-10-19.json,Young Offenders,2.0
371,2010-10-12,Data/speeches/UK/ousaf Family 2010-10-12.json,Yousaf Family,2.0
