,date,file_path,debate_title,country
0,2011-03-01,Data/speeches/UK/id Reviews 2011-03-01.json,Aid Reviews,2.0
1,2011-03-09,Data/speeches/UK/nimal Welfare 2011-03-09.json,Animal Welfare,2.0
2,2011-02-28,Data/speeches/UK/ntisocial Behaviour (Social Housing) 2011-02-28.json,Antisocial Behaviour (Social Housing),2.0
3,2011-03-07,Data/speeches/UK/ntisocial Behaviour 2011-03-07.json,Antisocial Behaviour,2.0
4,2011-03-03,Data/speeches/UK/pprenticeships_ Network Rail 2011-03-03.json,Apprenticeships: Network Rail,2.0
5,2011-03-08,Data/speeches/UK/rmed Forces (Pensions and Benefits) 2011-03-08.json,Armed Forces (Pensions and Benefits),2.0
6,2011-03-02,Data/speeches/UK/rmed Forces (Redundancies) 2011-03-02.json,Armed Forces (Redundancies),2.0
7,2011-03-02,Data/speeches/UK/rmed Forces_ Redundancy 2011-03-02.json,Armed Forces: Redundancy,2.0
8,2011-03-09,Data/speeches/UK/rms Trade_ Libya and North Africa 2011-03-09.json,Arms Trade: Libya and North Africa,2.0
9,2011-03-02,Data/tmp_text_files/UK/Arrangement of Business 2011-03-02.txt,,
10,2011-03-03,Data/speeches/UK/rts Council (London and Croydon) 2011-03-03.json,Arts Council (London and Croydon),2.0
11,2011-03-07,Data/speeches/UK/sylum Improvement Project 2011-03-07.json,Asylum Improvement Project,2.0
12,2011-03-01,Data/speeches/UK/ttorney-General 2011-03-01.json,Attorney-General,2.0
13,2011-02-28,Data/tmp_text_files/UK/Backbench Business 2011-02-28.txt,,
14,2011-03-03,Data/speeches/UK/ackbench Business Committee 2011-03-03.json,Backbench Business Committee,2.0
15,2011-03-02,Data/speeches/UK/anks_ Mutual Ownership 2011-03-02.json,Banks: Mutual Ownership,2.0
16,2011-02-28,Data/speeches/UK/ig Society 2011-02-28.json,Big Society,2.0
17,2011-03-02,Data/speeches/UK/ig Society Bank 2011-03-02 (1).json,Big Society Bank,2.0
18,2011-03-02,Data/speeches/UK/ig Society Bank 2011-03-02.json,Big Society Bank,2.0
19,2011-03-02,Data/speeches/UK/ig Society Ministerial Group 2011-03-02.json,Big Society Ministerial Group,2.0
20,2011-03-09,Data/speeches/UK/ig Society_ Britain in Bloom 2011-03-09.json,Big Society: Britain in Bloom,2.0
21,2011-03-08,Data/speeches/UK/ig Society_ Women’s Organisations 2011-03-08.json,Big Society: Women’s Organisations,2.0
22,2011-03-02,Data/tmp_text_files/UK/bill presented 2011-03-02.txt,,
23,2011-03-01,Data/speeches/UK/oundary Reviews 2011-03-01.json,Boundary Reviews,2.0
24,2011-03-02,Data/speeches/UK/ribery Act 2010 2011-03-02.json,Bribery Act 2010,2.0
25,2011-03-03,Data/speeches/UK/roadband 2011-03-03.json,Broadband,2.0
26,2011-03-03,Data/speeches/UK/SkyB 2011-03-03.json,BSkyB,2.0
27,2011-03-04,Data/speeches/UK/uilding Regulations (Review) Bill [HL] 2011-03-04.json,Building Regulations (Review) Bill [HL],2.0
28,2011-03-03,Data/tmp_text_files/UK/Business of the House 2011-03-03 (1).txt,,
29,2011-03-03,Data/speeches/UK/usiness of the House 2011-03-03.json,Business of the House,2.0
30,2011-03-08,Data/tmp_text_files/UK/Business of the House 2011-03-08.txt,,
31,2011-03-01,Data/tmp_text_files/UK/Business without Debate 2011-03-01.txt,,
32,2011-03-02,Data/tmp_text_files/UK/Business without Debate 2011-03-02.txt,,
33,2011-03-03,Data/tmp_text_files/UK/Business without Debate 2011-03-03.txt,,
34,2011-03-04,Data/speeches/UK/usiness without Debate 2011-03-04.json,Business without Debate,2.0
35,2011-03-07,Data/tmp_text_files/UK/Business without Debate 2011-03-07.txt,,
36,2011-03-08,Data/tmp_text_files/UK/Business without Debate 2011-03-08.txt,,
37,2011-03-09,Data/tmp_text_files/UK/Business without Debate 2011-03-09.txt,,
38,2011-03-02,Data/speeches/UK/abinet Office 2011-03-02.json,Cabinet Office,2.0
39,2011-03-08,Data/speeches/UK/ancer Mortality Rates 2011-03-08.json,Cancer Mortality Rates,2.0
40,2011-03-08,Data/speeches/UK/ancer Services 2011-03-08.json,Cancer Services,2.0
41,2011-03-08,Data/speeches/UK/ancer Strategy 2011-03-08.json,Cancer Strategy,2.0
42,2011-03-08,Data/speeches/UK/are Home Beds (North-east) 2011-03-08.json,Care Home Beds (North-east),2.0
43,2011-03-07,Data/speeches/UK/ensus Day 2011-03-07.json,Census Day,2.0
44,2011-03-08,Data/tmp_text_files/UK/Charitable Healthcare Providers (Value Added Tax Relief) 2011-03-08.txt,,
45,2011-03-03,Data/tmp_text_files/UK/Charities Bill [HL] 2011-03-03.txt,,
46,2011-03-02,Data/speeches/UK/hild Slavery 2011-03-02.json,Child Slavery,2.0
47,2011-02-28,Data/speeches/UK/hild Trust Fund 2011-02-28.json,Child Trust Fund,2.0
48,2011-03-03,Data/speeches/UK/hildren's Heart Surgery (Leeds) 2011-03-03.json,Children's Heart Surgery (Leeds),2.0
49,2011-03-01,Data/speeches/UK/hurch Commissioners 2011-03-01 (1).json,Church Commissioners,2.0
50,2011-03-01,Data/speeches/UK/hurch Commissioners 2011-03-01 (2).json,Church Commissioners,2.0
51,2011-03-01,Data/speeches/UK/hurch Commissioners 2011-03-01.json,Church Commissioners,2.0
52,2011-03-01,Data/speeches/UK/lergy Accommodation 2011-03-01.json,Clergy Accommodation,2.0
53,2011-03-03,Data/speeches/UK/lothing Industry_ Ethical and Sustainable Fashion 2011-03-03.json,Clothing Industry: Ethical and Sustainable Fashion,2.0
54,2011-03-03,Data/speeches/UK/ommittee of Selection 2011-03-03.json,Committee of Selection,2.0
55,2011-02-28,Data/speeches/UK/ommons Chamber 2011-02-28.json,Commons Chamber,2.0
56,2011-03-01,Data/speeches/UK/ommons Chamber 2011-03-01.json,Commons Chamber,2.0
57,2011-03-02,Data/speeches/UK/ommons Chamber 2011-03-02.json,Commons Chamber,2.0
58,2011-03-03,Data/speeches/UK/ommons Chamber 2011-03-03.json,Commons Chamber,2.0
59,2011-03-04,Data/speeches/UK/ommons Chamber 2011-03-04.json,Commons Chamber,2.0
60,2011-03-07,Data/speeches/UK/ommons Chamber 2011-03-07.json,Commons Chamber,2.0
61,2011-03-08,Data/speeches/UK/ommons Chamber 2011-03-08.json,Commons Chamber,2.0
62,2011-03-09,Data/speeches/UK/ommons Chamber 2011-03-09.json,Commons Chamber,2.0
63,2011-03-07,Data/tmp_text_files/UK/Communications Committee 2011-03-07.txt,,
64,2011-02-28,Data/speeches/UK/ommunities and Local Government 2011-02-28.json,Communities and Local Government,2.0
65,2011-02-28,Data/speeches/UK/ommunity Budget Schemes 2011-02-28.json,Community Budget Schemes,2.0
66,2011-03-03,Data/speeches/UK/ommunity Radio 2011-03-03.json,Community Radio,2.0
67,2011-03-03,Data/speeches/UK/ompetitive Sport 2011-03-03.json,Competitive Sport,2.0
68,2011-03-09,Data/tmp_text_files/UK/Consolidated Fund (Appropriation) (No. 2) Bill 2011-03-09.txt,,
69,2011-03-03,Data/tmp_text_files/UK/Consolidated Fund (Appropriation) (No.2) Bill 2011-03-03.txt,,
70,2011-02-28,Data/speeches/UK/ouncil Tax 2011-02-28.json,Council Tax,2.0
71,2011-03-01,Data/speeches/UK/PS_Police Co-ordination 2011-03-01.json,CPS/Police Co-ordination,2.0
72,2011-03-03,Data/speeches/UK/reative and Leisure Industries 2011-03-03.json,Creative and Leisure Industries,2.0
73,2011-03-08,Data/speeches/UK/redit Unions 2011-03-08.json,Credit Unions,2.0
74,2011-03-03,"Data/speeches/UK/ulture, Media and Sport 2011-03-03.json","Culture, Media and Sport",2.0
75,2011-03-03,Data/speeches/UK/aily Prayers 2011-03-03.json,Daily Prayers,2.0
76,2011-03-02,Data/speeches/UK/avid Kato 2011-03-02.json,David Kato,2.0
77,2011-03-02,Data/tmp_text_files/UK/delegated legislation 2011-03-02.txt,,
78,2011-03-07,Data/tmp_text_files/UK/Delegated Legislation 2011-03-07.txt,,
79,2011-03-08,Data/tmp_text_files/UK/Delegated Legislation 2011-03-08.txt,,
80,2011-03-09,Data/tmp_text_files/UK/Delegated Legislation 2011-03-09.txt,,
81,2011-03-02,Data/tmp_text_files/UK/department for education 2011-03-02.txt,,
82,2011-02-28,Data/speeches/UK/epartmental Administration (Spending) 2011-02-28.json,Departmental Administration (Spending),2.0
83,2011-03-01,Data/speeches/UK/eputy Prime Minister 2011-03-01.json,Deputy Prime Minister,2.0
84,2011-03-09,Data/speeches/UK/isability Living Allowance 2011-03-09.json,Disability Living Allowance,2.0
85,2011-03-03,Data/speeches/UK/iversity (Film Sector) 2011-03-03.json,Diversity (Film Sector),2.0
86,2011-03-04,Data/speeches/UK/og Control Bill [HL] 2011-03-04.json,Dog Control Bill [HL],2.0
87,2011-03-08,Data/tmp_text_files/UK/Draft Detention of Terrorist Suspects (Temporary Extension) Bills 2011-03-08.txt,,
88,2011-03-09,Data/speeches/UK/rug Use and Possession_ Royal Commission 2011-03-09.json,Drug Use and Possession: Royal Commission,2.0
89,2011-03-09,Data/speeches/UK/ast London Tech City 2011-03-09.json,East London Tech City,2.0
90,2011-03-08,Data/speeches/UK/co-island Strategy (Isle of Wight) 2011-03-08.json,Eco-island Strategy (Isle of Wight),2.0
91,2011-03-07,Data/speeches/UK/ducation Maintenance Allowance 2011-03-07.json,Education Maintenance Allowance,2.0
92,2011-03-09,Data/speeches/UK/ducation Maintenance Allowance 2011-03-09.json,Education Maintenance Allowance,2.0
93,2011-03-02,Data/speeches/UK/lections_ Voting Arrangements 2011-03-02.json,Elections: Voting Arrangements,2.0
94,2011-03-01,Data/speeches/UK/lectoral Commission Committee 2011-03-01 (1).json,Electoral Commission Committee,2.0
95,2011-03-01,Data/speeches/UK/lectoral Commission Committee 2011-03-01 (2).json,Electoral Commission Committee,2.0
96,2011-03-01,Data/speeches/UK/lectoral Commission Committee 2011-03-01 (3).json,Electoral Commission Committee,2.0
97,2011-03-01,Data/speeches/UK/lectoral Commission Committee 2011-03-01.json,Electoral Commission Committee,2.0
98,2011-03-01,Data/speeches/UK/lectoral Fraud 2011-03-01.json,Electoral Fraud,2.0
99,2011-03-01,Data/speeches/UK/lectoral System (Referendum) 2011-03-01.json,Electoral System (Referendum),2.0
100,2011-03-01,Data/speeches/UK/lectoral System 2011-03-01.json,Electoral System,2.0
101,2011-03-09,Data/speeches/UK/mployment Levels 2011-03-09.json,Employment Levels,2.0
102,2011-03-01,Data/tmp_text_files/UK/Energy Bill [HL] 2011-03-01.txt,,
103,2011-03-02,Data/speeches/UK/nergy Bill [HL] 2011-03-02 (1).json,Energy Bill [HL],2.0
104,2011-03-02,Data/speeches/UK/nergy Bill [HL] 2011-03-02.json,Energy Bill [HL],2.0
105,2011-03-08,Data/speeches/UK/nergy Bill [HL] 2011-03-08.json,Energy Bill [HL],2.0
106,2011-03-02,Data/speeches/UK/ngagements 2011-03-02.json,Engagements,2.0
107,2011-03-09,Data/speeches/UK/ngagements 2011-03-09.json,Engagements,2.0
108,2011-03-04,Data/speeches/UK/states of Deceased Persons (Forfeiture Rule and Law of Succession) Bill 2011-03-04.json,Estates of Deceased Persons (Forfeiture Rule and Law of Succession) Bill,2.0
109,2011-03-07,Data/tmp_text_files/UK/Estates of Deceased Persons (Forfeiture Rule and Law of Succession) Bill 2011-03-07.txt,,
110,2011-03-02,Data/tmp_text_files/UK/Estimates Day 2011-03-02.txt,,
111,2011-03-08,Data/speeches/UK/uropean Union Bill 2011-03-08.json,European Union Bill,2.0
112,2011-03-09,Data/tmp_text_files/UK/European Union Bill 2011-03-09.txt,,
113,2011-03-04,Data/speeches/UK/alse Self-employment Status 2011-03-04.json,False Self-employment Status,2.0
114,2011-03-09,Data/tmp_text_files/UK/Financial Assistance Scheme (Revaluation and Indexation Amendments) Regulations 2011 2011-03-09.txt,,
115,2011-02-28,Data/speeches/UK/ire Authorities 2011-02-28.json,Fire Authorities,2.0
116,2011-03-01,Data/speeches/UK/ixed-term Parliaments Bill 2011-03-01 (1).json,Fixed-term Parliaments Bill,2.0
117,2011-03-01,Data/speeches/UK/ixed-term Parliaments Bill 2011-03-01.json,Fixed-term Parliaments Bill,2.0
118,2011-03-01,Data/speeches/UK/orestry Commission 2011-03-01.json,Forestry Commission,2.0
119,2011-03-03,Data/speeches/UK/orestry Commission 2011-03-03.json,Forestry Commission,2.0
120,2011-03-01,Data/speeches/UK/ormer Roman Catholic Priests (Ordination) 2011-03-01.json,Former Roman Catholic Priests (Ordination),2.0
121,2011-03-09,Data/speeches/UK/uel Duty Derogation 2011-03-09.json,Fuel Duty Derogation,2.0
122,2011-03-04,Data/speeches/UK/urther and Higher Education (Access) Bill 2011-03-04.json,Further and Higher Education (Access) Bill,2.0
123,2011-03-02,Data/speeches/UK/overnment Procurement (SMEs) 2011-03-02.json,Government Procurement (SMEs),2.0
124,2011-03-08,Data/speeches/UK/P Commissioning Consortia 2011-03-08 (1).json,GP Commissioning Consortia,2.0
125,2011-03-08,Data/speeches/UK/P Commissioning Consortia 2011-03-08.json,GP Commissioning Consortia,2.0
126,2011-02-28,Data/speeches/UK/rand Committee 2011-02-28 (1).json,Grand Committee,2.0
127,2011-02-28,Data/tmp_text_files/UK/Grand Committee 2011-02-28.txt,,
128,2011-03-01,Data/speeches/UK/rand Committee 2011-03-01 (1).json,Grand Committee,2.0
129,2011-03-01,Data/tmp_text_files/UK/Grand Committee 2011-03-01.txt,,
130,2011-03-02,Data/speeches/UK/rand Committee 2011-03-02 (1).json,Grand Committee,2.0
131,2011-03-02,Data/tmp_text_files/UK/Grand Committee 2011-03-02.txt,,
132,2011-03-03,Data/speeches/UK/rand Committee 2011-03-03 (1).json,Grand Committee,2.0
133,2011-03-03,Data/tmp_text_files/UK/Grand Committee 2011-03-03.txt,,
134,2011-03-09,Data/speeches/UK/rand Committee 2011-03-09 (1).json,Grand Committee,2.0
135,2011-03-09,Data/tmp_text_files/UK/Grand Committee 2011-03-09.txt,,
136,2011-03-09,Data/speeches/UK/reen Investment Bank 2011-03-09.json,Green Investment Bank,2.0
137,2011-03-08,Data/speeches/UK/ealth 2011-03-08.json,Health,2.0
138,2011-03-09,Data/speeches/UK/ealth and Safety (Construction Industry) 2011-03-09.json,Health and Safety (Construction Industry),2.0
139,2011-03-01,Data/speeches/UK/ealth_ Alcohol Minimum Pricing 2011-03-01.json,Health: Alcohol Minimum Pricing,2.0
140,2011-03-02,Data/speeches/UK/ealth_ Cancer 2011-03-02.json,Health: Cancer,2.0
141,2011-03-03,Data/speeches/UK/ealth_ Care and Compassion_ 2011-03-03.json,Health: Care and Compassion?,2.0
142,2011-03-08,Data/tmp_text_files/UK/Higham Hopper Bus Service 2011-03-08.txt,,
143,2011-03-09,Data/speeches/UK/igher Education Funding 2011-03-09.json,Higher Education Funding,2.0
144,2011-03-02,Data/speeches/UK/M Revenue and Customs 2011-03-02.json,HM Revenue and Customs,2.0
145,2011-03-07,Data/speeches/UK/ome Department 2011-03-07.json,Home Department,2.0
146,2011-03-01,Data/speeches/UK/omelessness_ Tuberculosis 2011-03-01.json,Homelessness: Tuberculosis,2.0
147,2011-03-02,Data/speeches/UK/ospital Services (Worcestershire) 2011-03-02.json,Hospital Services (Worcestershire),2.0
148,2011-02-28,Data/tmp_text_files/UK/House of Commons 2011-02-28.txt,,
149,2011-03-01,Data/tmp_text_files/UK/House of Commons 2011-03-01.txt,,
150,2011-03-02,Data/tmp_text_files/UK/House of Commons 2011-03-02.txt,,
151,2011-03-03,Data/tmp_text_files/UK/House of Commons 2011-03-03.txt,,
152,2011-03-04,Data/tmp_text_files/UK/House of Commons 2011-03-04.txt,,
153,2011-03-07,Data/tmp_text_files/UK/House of Commons 2011-03-07.txt,,
154,2011-03-08,Data/tmp_text_files/UK/House of Commons 2011-03-08.txt,,
155,2011-03-09,Data/tmp_text_files/UK/House of Commons 2011-03-09.txt,,
156,2011-03-03,Data/speeches/UK/ouse of Commons Commission 2011-03-03.json,House of Commons Commission,2.0
157,2011-03-03,Data/speeches/UK/ouse of Commons Nursery 2011-03-03.json,House of Commons Nursery,2.0
158,2011-02-28,Data/tmp_text_files/UK/House of Lords 2011-02-28.txt,,
159,2011-03-01,Data/tmp_text_files/UK/House of Lords 2011-03-01.txt,,
160,2011-03-02,Data/tmp_text_files/UK/House of Lords 2011-03-02.txt,,
161,2011-03-03,Data/tmp_text_files/UK/House of Lords 2011-03-03.txt,,
162,2011-03-04,Data/tmp_text_files/UK/House of Lords 2011-03-04.txt,,
163,2011-03-07,Data/tmp_text_files/UK/House of Lords 2011-03-07.txt,,
164,2011-03-08,Data/tmp_text_files/UK/House of Lords 2011-03-08 (1).txt,,
165,2011-03-08,Data/tmp_text_files/UK/House of Lords 2011-03-08.txt,,
