,date,file_path,debate_title,country
0,2010-11-23,Data/speeches/UK/battoirs_ CCTV 2010-11-23.json,Abattoirs: CCTV,2.0
1,2010-11-17,Data/speeches/UK/ccess to Basic Sanitation 2010-11-17.json,Access to Basic Sanitation,2.0
2,2010-11-18,Data/speeches/UK/ctive Citizenship 2010-11-18.json,Active Citizenship,2.0
3,2010-11-23,Data/speeches/UK/dministration of Justice 2010-11-23.json,Administration of Justice,2.0
4,2010-11-09,Data/speeches/UK/fghanistan 2010-11-09.json,Afghanistan,2.0
5,2010-11-17,Data/speeches/UK/pportionment of Money in the National Lottery Distribution Fund Order 2010 2010-11-17.json,Apportionment of Money in the National Lottery Distribution Fund Order 2010,2.0
6,2010-11-23,Data/tmp_text_files/UK/Apportionment of Money in the National Lottery Distribution Fund Order 2010 2010-11-23.txt,,
7,2010-11-18,Data/speeches/UK/pprenticeships 2010-11-18.json,Apprenticeships,2.0
8,2010-11-09,Data/speeches/UK/rmed Forces Charter 2010-11-09.json,Armed Forces Charter,2.0
9,2010-11-12,Data/tmp_text_files/UK/Arrangement of Business 2010-11-12.txt,,
10,2010-11-15,Data/speeches/UK/rrangement of Business 2010-11-15 (1).json,Arrangement of Business,2.0
11,2010-11-15,Data/tmp_text_files/UK/Arrangement of Business 2010-11-15.txt,,
12,2010-11-16,Data/tmp_text_files/UK/Arrangement of Business 2010-11-16.txt,,
13,2010-11-18,Data/tmp_text_files/UK/Arrangement of Business 2010-11-18.txt,,
14,2010-11-22,Data/tmp_text_files/UK/Arrangement of Business 2010-11-22.txt,,
15,2010-11-23,Data/speeches/UK/rrangement of Business 2010-11-23.json,Arrangement of Business,2.0
16,2010-11-17,Data/speeches/UK/sbestos Products 2010-11-17.json,Asbestos Products,2.0
17,2010-11-10,Data/tmp_text_files/UK/Asylum (First List of Safe Countries) (Amendment) Order 2010 2010-11-10.txt,,
18,2010-11-11,Data/tmp_text_files/UK/backbench business 2010-11-11 (1).txt,,
19,2010-11-11,Data/tmp_text_files/UK/Backbench Business 2010-11-11.txt,,
20,2010-11-18,Data/tmp_text_files/UK/Backbench Business 2010-11-18.txt,,
21,2010-11-16,Data/speeches/UK/ank Lending (Businesses) 2010-11-16.json,Bank Lending (Businesses),2.0
22,2010-11-10,Data/speeches/UK/arnett Formula Funding 2010-11-10.json,Barnett Formula Funding,2.0
23,2010-11-10,Data/speeches/UK/BC Funding (CSR) 2010-11-10.json,BBC Funding (CSR),2.0
24,2010-11-09,Data/speeches/UK/BC World Service 2010-11-09.json,BBC World Service,2.0
25,2010-11-22,Data/speeches/UK/enefits Regime (Gender Impact Assessments) 2010-11-22.json,Benefits Regime (Gender Impact Assessments),2.0
26,2010-11-24,Data/speeches/UK/ookmakers and Planning (Haringey) 2010-11-24.json,Bookmakers and Planning (Haringey),2.0
