,date,file_path,debate_title,country
0,2011-03-16,Data/speeches/UK/38 (Amber Valley) 2011-03-16.json,A38 (Amber Valley),2.0
1,2011-03-21,Data/speeches/UK/cademies (Chatham and Aylesford) 2011-03-21.json,Academies (Chatham and Aylesford),2.0
2,2011-03-23,Data/speeches/UK/ccess to Justice Act 1999 (Destination of Appeals) (Family Proceedings) Order 2011 2011-03-23.json,Access to Justice Act 1999 (Destination of Appeals) (Family Proceedings) Order 2011,2.0
3,2011-03-24,Data/speeches/UK/dapting to Climate Change_ EU Agriculture and Forestry (EUC Report) 2011-03-24.json,Adapting to Climate Change: EU Agriculture and Forestry (EUC Report),2.0
4,2011-03-14,Data/speeches/UK/fghanistan 2011-03-14.json,Afghanistan,2.0
5,2011-03-23,Data/speeches/UK/ggregates Levy Credit Scheme 2011-03-23.json,Aggregates Levy Credit Scheme,2.0
6,2011-03-22,Data/speeches/UK/griculture_ Farming 2011-03-22.json,Agriculture: Farming,2.0
7,2011-03-21,Data/speeches/UK/griculture_ Pigs 2011-03-21.json,Agriculture: Pigs,2.0
8,2011-03-23,Data/speeches/UK/ir Passenger Duty 2011-03-23.json,Air Passenger Duty,2.0
9,2011-03-16,Data/speeches/UK/irports_ London 2011-03-16.json,Airports: London,2.0
10,2011-03-23,Data/speeches/UK/mendment of the Law 2011-03-23.json,Amendment of the Law,2.0
11,2011-03-24,Data/speeches/UK/mendment of the Law 2011-03-24.json,Amendment of the Law,2.0
12,2011-03-09,Data/speeches/UK/nimal Welfare 2011-03-09.json,Animal Welfare,2.0
13,2011-03-17,Data/speeches/UK/nimals (Illegal Trade) 2011-03-17.json,Animals (Illegal Trade),2.0
14,2011-03-10,Data/speeches/UK/nti-Semitism 2011-03-10.json,Anti-Semitism,2.0
15,2011-03-22,Data/speeches/UK/rms Trade 2011-03-22.json,Arms Trade,2.0
16,2011-03-09,Data/speeches/UK/rms Trade_ Libya and North Africa 2011-03-09.json,Arms Trade: Libya and North Africa,2.0
17,2011-03-16,Data/tmp_text_files/UK/Arrangement of Business 2011-03-16.txt,,
18,2011-03-21,Data/tmp_text_files/UK/Arrangement of Business 2011-03-21.txt,,
19,2011-03-23,Data/tmp_text_files/UK/Arrangement of Business 2011-03-23.txt,,
