,date,file_path,debate_title,country
0,07/01/2010,Data/speeches/UK/lternative Medicine_ Astrologers 2010-01-07.json,Alternative Medicine: Astrologers,2
1,06/01/2010,Data/speeches/UK/luminium Industry 2010-01-06.json,Aluminium Industry,2
2,05/01/2010,Data/tmp_text_files/UK/Arrangement of Business 2010-01-05 (1).txt,,
3,05/01/2010,Data/tmp_text_files/UK/Arrangement of Business 2010-01-05.txt,,
4,06/01/2010,Data/tmp_text_files/UK/Arrangement of Business 2010-01-06.txt,,
5,05/01/2010,Data/speeches/UK/viation and Border Security 2010-01-05.json,Aviation and Border Security,2
6,06/01/2010,Data/tmp_text_files/UK/Badman Report (Maldon and East Chelmsford) 2010-01-06.txt,,
7,07/01/2010,Data/speeches/UK/ribery Bill [HL] 2010-01-07.json,Bribery Bill [HL],2
8,07/01/2010,Data/speeches/UK/usiness of the House 2010-01-07.json,Business of the House,2
9,05/01/2010,Data/tmp_text_files/UK/Business without Debate 2010-01-05.txt,,
10,06/01/2010,Data/tmp_text_files/UK/Business without Debate 2010-01-06.txt,,
11,05/01/2010,Data/tmp_text_files/UK/Car Scheme (Castle Point) 2010-01-05.txt,,
12,06/01/2010,Data/speeches/UK/ar Scrappage 2010-01-06.json,Car Scrappage,2
13,07/01/2010,Data/speeches/UK/arbon Capture and Storage 2010-01-07 (1).json,Carbon Capture and Storage,2
14,07/01/2010,Data/speeches/UK/arbon Capture And Storage 2010-01-07.json,Carbon Capture And Storage,2
15,05/01/2010,Data/speeches/UK/hild Poverty Bill 2010-01-05 (1).json,Child Poverty Bill,2
16,05/01/2010,Data/speeches/UK/hild Poverty Bill 2010-01-05.json,Child Poverty Bill,2
17,06/01/2010,Data/speeches/UK/luster Munitions (Prohibitions) Bill [HL] 2010-01-06.json,Cluster Munitions (Prohibitions) Bill [HL],2
18,07/01/2010,Data/speeches/UK/o-operative and Community Benefit Societies and Credit Unions Bill [HL] 2010-01-07.json,Co-operative and Community Benefit Societies and Credit Unions Bill [HL],2
19,05/01/2010,Data/speeches/UK/ommons Chamber 2010-01-05.json,Commons Chamber,2
20,06/01/2010,Data/speeches/UK/ommons Chamber 2010-01-06.json,Commons Chamber,2
21,07/01/2010,Data/speeches/UK/ommons Chamber 2010-01-07.json,Commons Chamber,2
22,05/01/2010,Data/speeches/UK/ompulsory Transfer Agreements 2010-01-05.json,Compulsory Transfer Agreements,2
23,07/01/2010,Data/speeches/UK/ontaminated Blood (Support for Infected and Bereaved Persons) Bill [HL] 2010-01-07.json,Contaminated Blood (Support for Infected and Bereaved Persons) Bill [HL],2
24,05/01/2010,Data/speeches/UK/openhagen Climate Change Conference 2010-01-05.json,Copenhagen Climate Change Conference,2
25,07/01/2010,Data/speeches/UK/openhagen Conference 2010-01-07 (1).json,Copenhagen Conference,2
26,07/01/2010,Data/speeches/UK/openhagen Conference 2010-01-07.json,Copenhagen Conference,2
27,05/01/2010,Data/tmp_text_files/UK/Corporation Tax BILL (Ways and Means) 2010-01-05.txt,,
28,05/01/2010,Data/speeches/UK/ourt Cases 2010-01-05.json,Court Cases,2
29,07/01/2010,Data/speeches/UK/efence_ Chinook Helicopters 2010-01-07.json,Defence: Chinook Helicopters,2
30,05/01/2010,Data/speeches/UK/elegated Legislation 2010-01-05.json,Delegated Legislation,2
31,05/01/2010,Data/speeches/UK/epartmental Staff Internet Usage 2010-01-05.json,Departmental Staff Internet Usage,2
32,06/01/2010,Data/speeches/UK/igital Economy Bill [HL] 2010-01-06.json,Digital Economy Bill [HL],2
33,05/01/2010,Data/speeches/UK/rug Misuse (Prisons) 2010-01-05.json,Drug Misuse (Prisons),2
34,06/01/2010,Data/speeches/UK/conomic Inactivity 2010-01-06.json,Economic Inactivity,2
35,05/01/2010,Data/speeches/UK/ducation 2010-01-05.json,Education,2
36,06/01/2010,Data/speeches/UK/lection of the Deputy Speakers 2010-01-06.json,Election of the Deputy Speakers,2
37,05/01/2010,Data/speeches/UK/lectoral System 2010-01-05.json,Electoral System,2
38,07/01/2010,Data/speeches/UK/nergy and Climate Change 2010-01-07.json,Energy and Climate Change,2
39,06/01/2010,Data/speeches/UK/ngagements 2010-01-06.json,Engagements,2
40,07/01/2010,Data/tmp_text_files/UK/Equality Bill 2010-01-07.txt,,
41,05/01/2010,Data/tmp_text_files/UK/European Union Documents 2010-01-05.txt,,
42,06/01/2010,Data/speeches/UK/aith Buildings 2010-01-06.json,Faith Buildings,2
43,05/01/2010,Data/speeches/UK/iscal Responsibility Bill 2010-01-05.json,Fiscal Responsibility Bill,2
44,07/01/2010,Data/speeches/UK/uel Inefficiency 2010-01-07.json,Fuel Inefficiency,2
45,07/01/2010,Data/speeches/UK/uel Poverty 2010-01-07.json,Fuel Poverty,2
46,06/01/2010,Data/speeches/UK/unding and Finance for Wales 2010-01-06.json,Funding and Finance for Wales,2
47,06/01/2010,Data/speeches/UK/uture Jobs Fund 2010-01-06.json,Future Jobs Fund,2
48,06/01/2010,Data/speeches/UK/rand Committee 2010-01-06 (1).json,Grand Committee,2
