,date,file_path,debate_title,country
0,2011-02-14,Data/speeches/UK/fghanistan 2011-02-14.json,Afghanistan,2.0
1,2011-02-07,Data/speeches/UK/griculture_ Dairy Industry 2011-02-07.json,Agriculture: Dairy Industry,2.0
2,2011-02-16,Data/speeches/UK/id Transfers 2011-02-16.json,Aid Transfers,2.0
3,2011-02-15,Data/speeches/UK/irports_ Heathrow 2011-02-15.json,Airports: Heathrow,2.0
4,2011-02-10,Data/speeches/UK/naerobic Digestion 2011-02-10.json,Anaerobic Digestion,2.0
5,2011-02-14,Data/speeches/UK/pprentices 2011-02-14.json,Apprentices,2.0
6,2011-02-09,Data/speeches/UK/pprenticeships 2011-02-09.json,Apprenticeships,2.0
7,2011-02-17,Data/speeches/UK/pprenticeships 2011-02-17 (1).json,Apprenticeships,2.0
8,2011-02-17,Data/speeches/UK/pprenticeships 2011-02-17.json,Apprenticeships,2.0
9,2011-02-15,Data/speeches/UK/rmed Forces (Redundancies) 2011-02-15.json,Armed Forces (Redundancies),2.0
10,2011-02-15,Data/speeches/UK/rmed Forces_ Redundancies 2011-02-15.json,Armed Forces: Redundancies,2.0
11,2011-02-07,Data/tmp_text_files/UK/Arrangement of Business 2011-02-07.txt,,
12,2011-02-10,Data/tmp_text_files/UK/Arrangement of Business 2011-02-10.txt,,
13,2011-02-16,Data/tmp_text_files/UK/Arrangement of Business 2011-02-16.txt,,
14,2011-02-14,Data/speeches/UK/sylum Seekers_ Medical Treatment 2011-02-14.json,Asylum Seekers: Medical Treatment,2.0
15,2011-02-15,Data/speeches/UK/uto Windscreens 2011-02-15.json,Auto Windscreens,2.0
16,2011-02-10,Data/tmp_text_files/UK/backbench business 2011-02-10 (1).txt,,
17,2011-02-10,Data/tmp_text_files/UK/Backbench Business 2011-02-10.txt,,
18,2011-02-17,Data/speeches/UK/ahrain 2011-02-17.json,Bahrain,2.0
19,2011-02-17,Data/speeches/UK/ank Lending 2011-02-17.json,Bank Lending,2.0
20,2011-02-08,Data/speeches/UK/ankers’ Bonuses 2011-02-08.json,Bankers’ Bonuses,2.0
21,2011-02-09,Data/speeches/UK/anking 2011-02-09 (1).json,Banking,2.0
22,2011-02-09,Data/speeches/UK/anking 2011-02-09.json,Banking,2.0
23,2011-02-08,Data/speeches/UK/asel III Framework 2011-02-08.json,Basel III Framework,2.0
24,2011-02-08,Data/tmp_text_files/UK/BBC Licence Fee Payers (Voting Rights) 2011-02-08.txt,,
25,2011-02-15,Data/speeches/UK/ribery Act 2010 2011-02-15.json,Bribery Act 2010,2.0
26,2011-02-15,Data/speeches/UK/ribery Act 2011-02-15.json,Bribery Act,2.0
27,2011-02-14,Data/speeches/UK/ritish Film Institute_ Children’s Film Funding 2011-02-14.json,British Film Institute: Children’s Film Funding,2.0
28,2011-02-07,Data/speeches/UK/udget Responsibility and National Audit Bill [HL] 2011-02-07.json,Budget Responsibility and National Audit Bill [HL],2.0
29,2011-02-14,Data/speeches/UK/udget Responsibility and National Audit Bill [Lords] 2011-02-14.json,Budget Responsibility and National Audit Bill [Lords],2.0
30,2011-02-14,Data/speeches/UK/uilding Schools for the Future 2011-02-14 (1).json,Building Schools for the Future,2.0
31,2011-02-14,Data/speeches/UK/uilding Schools for the Future 2011-02-14.json,Building Schools for the Future,2.0
32,2011-02-09,Data/tmp_text_files/UK/business before questions 2011-02-09.txt,,
33,2011-02-16,Data/tmp_text_files/UK/Business of the House (Today) 2011-02-16.txt,,
34,2011-02-10,Data/speeches/UK/usiness of the House 2011-02-10.json,Business of the House,2.0
35,2011-02-17,Data/speeches/UK/usiness of the House 2011-02-17.json,Business of the House,2.0
36,2011-02-07,Data/tmp_text_files/UK/Business without debate 2011-02-07.txt,,
37,2011-02-08,Data/tmp_text_files/UK/Business without Debate 2011-02-08.txt,,
38,2011-02-09,Data/tmp_text_files/UK/Business without Debate 2011-02-09.txt,,
39,2011-02-11,Data/speeches/UK/usiness without Debate 2011-02-11.json,Business without Debate,2.0
40,2011-02-14,Data/tmp_text_files/UK/Business without Debate 2011-02-14.txt,,
41,2011-02-15,Data/tmp_text_files/UK/Business without Debate 2011-02-15.txt,,
42,2011-02-16,Data/tmp_text_files/UK/Business without Debate 2011-02-16.txt,,
