,date,file_path,debate_title,country
0,2011-06-13,Data/speeches/UK/845 Numbers 2011-06-13.json,0845 Numbers,2.0
1,2011-06-16,Data/speeches/UK/cademies (Funding) 2011-06-16.json,Academies (Funding),2.0
2,2011-06-16,Data/speeches/UK/ccommodation 2011-06-16.json,Accommodation,2.0
3,2011-06-09,Data/speeches/UK/dult Learning Provision 2011-06-09.json,Adult Learning Provision,2.0
4,2011-06-14,Data/speeches/UK/fghanistan 2011-06-14.json,Afghanistan,2.0
5,2011-06-22,Data/speeches/UK/griculture Industry 2011-06-22.json,Agriculture Industry,2.0
6,2011-06-08,Data/speeches/UK/llotments 2011-06-08.json,Allotments,2.0
7,2011-06-08,Data/speeches/UK/nti-Semitism 2011-06-08.json,Anti-Semitism,2.0
8,2011-06-09,Data/speeches/UK/pprenticeships (Small Businesses) 2011-06-09.json,Apprenticeships (Small Businesses),2.0
9,2011-06-09,Data/speeches/UK/pprenticeships 2011-06-09 (1).json,Apprenticeships,2.0
10,2011-06-09,Data/speeches/UK/pprenticeships 2011-06-09.json,Apprenticeships,2.0
11,2011-06-07,Data/tmp_text_files/UK/Arbitration and Mediation Services (Equality) Bill [HL] 2011-06-07.txt,,
12,2011-06-14,Data/tmp_text_files/UK/Armed Forces Bill (PROGRAMME) (no. 2) 2011-06-14.txt,,
13,2011-06-14,Data/speeches/UK/rmed Forces Bill 2011-06-14.json,Armed Forces Bill,2.0
14,2011-06-16,Data/tmp_text_files/UK/Armed Forces Bill 2011-06-16 (1).txt,,
15,2011-06-16,Data/speeches/UK/rmed Forces Bill 2011-06-16.json,Armed Forces Bill,2.0
16,2011-06-20,Data/speeches/UK/rmed Forces_ Foreign Pilot Training 2011-06-20.json,Armed Forces: Foreign Pilot Training,2.0
17,2011-06-16,Data/speeches/UK/rmenia_ Genocide 2011-06-16.json,Armenia: Genocide,2.0
18,2011-06-07,Data/tmp_text_files/UK/Arrangement of Business 2011-06-07 (1).txt,,
19,2011-06-07,Data/tmp_text_files/UK/Arrangement of Business 2011-06-07.txt,,
20,2011-06-08,Data/tmp_text_files/UK/Arrangement of Business 2011-06-08.txt,,
21,2011-06-13,Data/tmp_text_files/UK/Arrangement of Business 2011-06-13.txt,,
22,2011-06-14,Data/tmp_text_files/UK/Arrangement of Business 2011-06-14.txt,,
23,2011-06-15,Data/tmp_text_files/UK/Arrangement of Business 2011-06-15.txt,,
24,2011-06-16,Data/speeches/UK/rrangement of Business 2011-06-16.json,Arrangement of Business,2.0
25,2011-06-21,Data/tmp_text_files/UK/Arrangement of Business 2011-06-21.txt,,
26,2011-06-16,Data/speeches/UK/rts Council England 2011-06-16.json,Arts Council England,2.0
27,2011-06-22,Data/speeches/UK/zerbaijan and the South Caucasus 2011-06-22.json,Azerbaijan and the South Caucasus,2.0
28,2011-06-09,Data/tmp_text_files/UK/Backbench Business 2011-06-09.txt,,
29,2011-06-16,Data/tmp_text_files/UK/BACKBENCH BUSINESS 2011-06-16.txt,,
30,2011-06-14,Data/speeches/UK/alkans 2011-06-14.json,Balkans,2.0
31,2011-06-09,Data/speeches/UK/ank Lending (Retford) 2011-06-09.json,Bank Lending (Retford),2.0
32,2011-06-09,Data/speeches/UK/ank Lending (Small Businesses) 2011-06-09.json,Bank Lending (Small Businesses),2.0
33,2011-06-21,Data/speeches/UK/ank Lending (Small Businesses) 2011-06-21.json,Bank Lending (Small Businesses),2.0
34,2011-06-13,Data/speeches/UK/anking_ Government Shares 2011-06-13.json,Banking: Government Shares,2.0
35,2011-06-21,Data/speeches/UK/anks (Regulation) 2011-06-21.json,Banks (Regulation),2.0
36,2011-06-21,Data/speeches/UK/anks (Taxation) 2011-06-21.json,Banks (Taxation),2.0
37,2011-06-15,Data/speeches/UK/arnett Formula 2011-06-15.json,Barnett Formula,2.0
38,2011-06-16,Data/speeches/UK/BC World Service 2011-06-16.json,BBC World Service,2.0
39,2011-06-14,Data/speeches/UK/elarus 2011-06-14.json,Belarus,2.0
40,2011-06-15,Data/speeches/UK/enefit Fraud 2011-06-15.json,Benefit Fraud,2.0
41,2011-06-13,Data/speeches/UK/enefit Payments (EU Nationals) 2011-06-13.json,Benefit Payments (EU Nationals),2.0
42,2011-06-15,Data/speeches/UK/ig Society Bank 2011-06-15.json,Big Society Bank,2.0
