,date,file_path,debate_title,country
0,2010-11-03,Data/speeches/UK/614 2010-11-03.json,A614,2.0
1,2010-10-27,Data/speeches/UK/fghanistan 2010-10-27 (1).json,Afghanistan,2.0
2,2010-10-27,Data/speeches/UK/fghanistan 2010-10-27.json,Afghanistan,2.0
3,2010-11-09,Data/speeches/UK/fghanistan 2010-11-09.json,Afghanistan,2.0
4,2010-11-04,Data/speeches/UK/gricultural Wages Board 2010-11-04.json,Agricultural Wages Board,2.0
5,2010-11-01,Data/speeches/UK/ircraft Carriers 2010-11-01.json,Aircraft Carriers,2.0
6,2010-10-26,Data/speeches/UK/ppointment of Bishops 2010-10-26.json,Appointment of Bishops,2.0
7,2010-11-04,Data/tmp_text_files/UK/Apportionment of Money in the National Lottery Distribution Fund Order 2010 2010-11-04.txt,,
8,2010-11-09,Data/speeches/UK/rmed Forces Charter 2010-11-09.json,Armed Forces Charter,2.0
9,2010-10-27,Data/speeches/UK/rmed Forces_ Harrier Fleet 2010-10-27.json,Armed Forces: Harrier Fleet,2.0
10,2010-10-28,Data/speeches/UK/rmed Forces_ Refusal of Goods and Services 2010-10-28.json,Armed Forces: Refusal of Goods and Services,2.0
11,2010-10-26,Data/tmp_text_files/UK/Arrangement of Business 2010-10-26.txt,,
12,2010-11-01,Data/tmp_text_files/UK/Arrangement of Business 2010-11-01.txt,,
13,2010-11-02,Data/tmp_text_files/UK/Arrangement of Business 2010-11-02.txt,,
14,2010-10-25,Data/speeches/UK/rts (Funding) 2010-10-25.json,Arts (Funding),2.0
15,2010-11-08,Data/speeches/UK/sylum (First List of Safe Countries) (Amendment) Order 2010 2010-11-08.json,Asylum (First List of Safe Countries) (Amendment) Order 2010,2.0
16,2010-10-26,Data/speeches/UK/ttorney-General 2010-10-26.json,Attorney-General,2.0
17,2010-11-01,Data/speeches/UK/viation Security Incident 2010-11-01.json,Aviation Security Incident,2.0
18,2010-10-28,Data/tmp_text_files/UK/Backbench Business 2010-10-28.txt,,
19,2010-11-04,Data/tmp_text_files/UK/backbench business 2010-11-04.txt,,
20,2010-11-04,Data/speeches/UK/adgers (Bovine Tuberculosis) 2010-11-04.json,Badgers (Bovine Tuberculosis),2.0
21,2010-11-01,Data/speeches/UK/anking_ Bonuses 2010-11-01.json,Banking: Bonuses,2.0
22,2010-10-27,Data/speeches/UK/arton Biomass Plant 2010-10-27.json,Barton Biomass Plant,2.0
23,2010-11-09,Data/speeches/UK/BC World Service 2010-11-09.json,BBC World Service,2.0
24,2010-11-04,Data/speeches/UK/iodiversity 2010-11-04.json,Biodiversity,2.0
25,2010-10-28,Data/tmp_text_files/UK/Black Rod 2010-10-28.txt,,
26,2010-11-03,Data/speeches/UK/loody Sunday Inquiry (Report) 2010-11-03.json,Bloody Sunday Inquiry (Report),2.0
27,2010-10-25,Data/speeches/UK/roadband 2010-10-25.json,Broadband,2.0
28,2010-10-28,Data/speeches/UK/roadcasting_ S4C 2010-10-28.json,Broadcasting: S4C,2.0
29,2010-11-08,Data/speeches/UK/udget Responsibility and National Audit Bill [HL] 2010-11-08.json,Budget Responsibility and National Audit Bill [HL],2.0
30,2010-11-09,Data/speeches/UK/urma 2010-11-09.json,Burma,2.0
31,2010-10-28,Data/speeches/UK/us Service Operators Grant 2010-10-28.json,Bus Service Operators Grant,2.0
32,2010-10-25,Data/speeches/UK/usiness Committee 2010-10-25 (1).json,Business Committee,2.0
33,2010-10-25,Data/speeches/UK/usiness Committee 2010-10-25.json,Business Committee,2.0
34,2010-10-28,Data/tmp_text_files/UK/Business of the House 2010-10-28 (1).txt,,
