,date,file_path,debate_title,country
0,2010-03-30,Data/speeches/UK/dministrative Tasks (Nurses) 2010-03-30.json,Administrative Tasks (Nurses),2.0
1,2010-03-29,Data/speeches/UK/fghanistan (Poppy Cultivation) 2010-03-29.json,Afghanistan (Poppy Cultivation),2.0
2,2010-03-29,Data/speeches/UK/fghanistan 2010-03-29 (1).json,Afghanistan,2.0
3,2010-03-29,Data/speeches/UK/fghanistan 2010-03-29.json,Afghanistan,2.0
4,2010-04-06,Data/speeches/UK/fghanistan 2010-04-06 (1).json,Afghanistan,2.0
5,2010-04-06,Data/speeches/UK/fghanistan 2010-04-06 (2).json,Afghanistan,2.0
6,2010-04-06,Data/speeches/UK/fghanistan 2010-04-06.json,Afghanistan,2.0
7,2010-03-30,Data/speeches/UK/ggregates Levy Sustainability Fund 2010-03-30.json,Aggregates Levy Sustainability Fund,2.0
8,2010-04-06,Data/speeches/UK/griculture_ British Pig Industry 2010-04-06.json,Agriculture: British Pig Industry,2.0
9,2010-03-25,Data/speeches/UK/ir Quality 2010-03-25.json,Air Quality,2.0
10,2010-03-30,Data/speeches/UK/irports_ New Runways 2010-03-30.json,Airports: New Runways,2.0
11,2010-03-25,Data/speeches/UK/l-Qaida and Taliban (Asset-Freezing) Regulations 2010 2010-03-25.json,Al-Qaida and Taliban (Asset-Freezing) Regulations 2010,2.0
12,2010-03-25,Data/speeches/UK/mendment of The Law 2010-03-25.json,amendment of The Law,2.0
13,2010-03-29,Data/speeches/UK/mendment of The Law 2010-03-29.json,amendment of The Law,2.0
14,2010-03-30,Data/speeches/UK/mendment of the LAW 2010-03-30.json,Amendment of the LAW,2.0
15,2010-03-25,Data/speeches/UK/naerobic Digestion Facilities 2010-03-25.json,Anaerobic Digestion Facilities,2.0
16,2010-03-29,Data/tmp_text_files/UK/Anti-Slavery Day Bill 2010-03-29.txt,,
17,2010-03-29,"Data/tmp_text_files/UK/Apprenticeships, Skills, Children and Learning Act 2009 (Consequential Amendments) (England and Wales)  Order 2010 2010-03-29.txt",,
18,2010-04-07,Data/tmp_text_files/UK/Appropriation Bill 2010-04-07.txt,,
19,2010-04-08,Data/tmp_text_files/UK/Appropriation Bill 2010-04-08.txt,,
20,2010-04-06,Data/speeches/UK/rgentina 2010-04-06.json,Argentina,2.0
21,2010-04-06,Data/speeches/UK/rmed Forces_ Voting 2010-04-06.json,Armed Forces: Voting,2.0
22,2010-03-29,Data/speeches/UK/rmenia 2010-03-29.json,Armenia,2.0
23,2010-03-29,Data/speeches/UK/rmoured Vehicles 2010-03-29.json,Armoured Vehicles,2.0
24,2010-03-29,Data/tmp_text_files/UK/Arrangement of Business 2010-03-29.txt,,
25,2010-04-06,Data/speeches/UK/rrangement of Business 2010-04-06.json,Arrangement of Business,2.0
26,2010-04-08,Data/speeches/UK/rrangement of Business 2010-04-08.json,Arrangement of Business,2.0
27,2010-03-30,Data/tmp_text_files/UK/Asylum Screening (Croydon) 2010-03-30.txt,,
28,2010-03-30,Data/speeches/UK/viation_ Regulatory Framework 2010-03-30.json,Aviation: Regulatory Framework,2.0
29,2010-03-29,Data/speeches/UK/AE Systems (Samlesbury) 2010-03-29.json,BAE Systems (Samlesbury),2.0
30,2010-03-30,Data/speeches/UK/anking_ Government Support 2010-03-30.json,Banking: Government Support,2.0
31,2010-03-30,Data/speeches/UK/ournemouth Borough Council Bill [HL] 2010-03-30.json,Bournemouth Borough Council Bill [HL],2.0
32,2010-04-07,Data/tmp_text_files/UK/Bournemouth Borough Council Bill [HL] 2010-04-07.txt,,
33,2010-04-07,Data/tmp_text_files/UK/Bribery Bill [HL] 2010-04-07.txt,,
34,2010-04-08,Data/speeches/UK/ribery Bill [HL] 2010-04-08.json,Bribery Bill [HL],2.0
35,2010-04-07,Data/speeches/UK/ribery Bill [Lords] 2010-04-07.json,Bribery Bill [Lords],2.0
36,2010-04-06,Data/speeches/UK/ritish Film and Television Industries (Communications Committee Report) 2010-04-06.json,British Film and Television Industries (Communications Committee Report),2.0
37,2010-04-06,Data/speeches/UK/ritish Indian Ocean Territory 2010-04-06.json,British Indian Ocean Territory,2.0
38,2010-03-25,Data/tmp_text_files/UK/Budget Resolutions and Economic Situation 2010-03-25.txt,,
39,2010-03-29,Data/tmp_text_files/UK/Budget Resolutions and Economic Situation 2010-03-29.txt,,
40,2010-03-30,Data/tmp_text_files/UK/Budget Resolutions and Economic Situation 2010-03-30.txt,,
41,2010-04-06,Data/speeches/UK/urma 2010-04-06.json,Burma,2.0
42,2010-03-30,Data/tmp_text_files/UK/Bus Routes (Croydon) 2010-03-30.txt,,
43,2010-03-30,Data/tmp_text_files/UK/Bus Service (Essex) 2010-03-30.txt,,
44,2010-04-07,Data/tmp_text_files/UK/Business 2010-04-07.txt,,
45,2010-03-25,Data/tmp_text_files/UK/Business of the House 2010-03-25 (1).txt,,
46,2010-03-25,Data/tmp_text_files/UK/Business of the House 2010-03-25 (2).txt,,
47,2010-03-25,Data/speeches/UK/usiness of the House 2010-03-25.json,Business of the House,2.0
48,2010-04-06,Data/speeches/UK/usiness of the House 2010-04-06.json,Business of the House,2.0
49,2010-04-07,Data/speeches/UK/usiness of the House 2010-04-07 (1).json,Business of the House,2.0
