,date,file_path,debate_title,country
58,2010-03-25,Data/speeches/UK/usiness of the House 2010-03-25.json,Business of the House,2.0
59,2010-03-10,Data/tmp_text_files/UK/Business without Debate 2010-03-10.txt,,
60,2010-03-11,Data/tmp_text_files/UK/Business without Debate 2010-03-11.txt,,
61,2010-03-12,Data/speeches/UK/usiness without Debate 2010-03-12.json,Business without Debate,2.0
62,2010-03-16,Data/tmp_text_files/UK/Business without Debate 2010-03-16.txt,,
63,2010-03-17,Data/tmp_text_files/UK/Business without Debate 2010-03-17.txt,,
64,2010-03-22,Data/tmp_text_files/UK/Business without Debate 2010-03-22.txt,,
65,2010-03-23,Data/tmp_text_files/UK/Business without Debate 2010-03-23.txt,,
66,2010-03-25,Data/tmp_text_files/UK/Business without Debate 2010-03-25.txt,,
67,2010-03-10,Data/speeches/UK/abinet Meeting (Durham) 2010-03-10.json,Cabinet Meeting (Durham),2.0
68,2010-03-10,Data/speeches/UK/abinet Office 2010-03-10.json,Cabinet Office,2.0
69,2010-03-16,Data/speeches/UK/apital Allowances 2010-03-16.json,Capital Allowances,2.0
70,2010-03-18,Data/speeches/UK/ar Journeys 2010-03-18.json,Car Journeys,2.0
71,2010-03-15,Data/speeches/UK/arer’s Allowance 2010-03-15.json,Carer’s Allowance,2.0
72,2010-03-23,Data/speeches/UK/harities (Disclosure of Revenue and Customs Information to the Charity Commission for Northern Ireland) Regulations 2010 2010-03-23.json,Charities (Disclosure of Revenue and Customs Information to the Charity Commission for Northern Ireland) Regulations 2010,2.0
73,2010-03-15,Data/speeches/UK/hild Benefit Up-rating Order 2010 2010-03-15.json,Child Benefit Up-rating Order 2010,2.0
74,2010-03-15,Data/speeches/UK/hild Poverty 2010-03-15.json,Child Poverty,2.0
75,2010-03-22,Data/tmp_text_files/UK/Child Poverty Bill (Programme) (No. 2) 2010-03-22.txt,,
76,2010-03-17,Data/speeches/UK/hild Poverty Bill 2010-03-17.json,Child Poverty Bill,2.0
77,2010-03-22,Data/speeches/UK/hild Poverty Bill 2010-03-22.json,Child Poverty Bill,2.0
78,2010-03-23,Data/tmp_text_files/UK/Child Poverty Bill 2010-03-23.txt,,
79,2010-03-15,Data/tmp_text_files/UK/Child Trust Funds (Amendment) Regulations 2010 2010-03-15.txt,,
80,2010-03-18,Data/speeches/UK/hildren Act 2004 Information Database (England) (Amendment) Regulations 2010 2010-03-18.json,Children Act 2004 Information Database (England) (Amendment) Regulations 2010,2.0
81,2010-03-22,"Data/tmp_text_files/UK/Children, Schools and Families Bill 2010-03-22.txt",,
82,2010-03-18,Data/speeches/UK/hildren_ Strokes 2010-03-18.json,Children: Strokes,2.0
83,2010-03-16,Data/speeches/UK/hile_ Earthquake 2010-03-16.json,Chile: Earthquake,2.0
