,date,file_path,debate_title,country
0,2010-11-29,Data/speeches/UK/018 FIFA World Cup 2010-11-29.json,2018 FIFA World Cup,2.0
1,2010-12-07,Data/speeches/UK/dult Social Care 2010-12-07.json,Adult Social Care,2.0
2,2010-12-08,Data/speeches/UK/erospace Industry 2010-12-08.json,Aerospace Industry,2.0
3,2010-11-30,Data/speeches/UK/lternative Vote Referendum 2010-11-30.json,Alternative Vote Referendum,2.0
4,2010-12-06,Data/speeches/UK/rctic Ice Cap 2010-12-06.json,Arctic Ice Cap,2.0
5,2010-11-29,Data/tmp_text_files/UK/Arrangement of Business 2010-11-29.txt,,
6,2010-11-30,Data/tmp_text_files/UK/Arrangement of Business 2010-11-30 (1).txt,,
7,2010-11-30,Data/tmp_text_files/UK/Arrangement of Business 2010-11-30 (2).txt,,
8,2010-11-30,Data/tmp_text_files/UK/Arrangement of Business 2010-11-30.txt,,
9,2010-12-03,Data/tmp_text_files/UK/Arrangement of Business 2010-12-03.txt,,
10,2010-12-07,Data/tmp_text_files/UK/Arrangement of Business 2010-12-07.txt,,
11,2010-12-08,Data/tmp_text_files/UK/Arrangement of Business 2010-12-08.txt,,
12,2010-12-01,Data/speeches/UK/sylum Seekers 2010-12-01.json,Asylum Seekers,2.0
13,2010-11-30,Data/speeches/UK/ttorney-General 2010-11-30.json,Attorney-General,2.0
14,2010-11-30,Data/speeches/UK/uckland Castle Paintings 2010-11-30.json,Auckland Castle Paintings,2.0
15,2010-12-07,Data/speeches/UK/utism 2010-12-07.json,Autism,2.0
16,2010-11-29,Data/speeches/UK/utumn Forecast 2010-11-29 (1).json,Autumn Forecast,2.0
17,2010-11-29,Data/speeches/UK/utumn Forecast 2010-11-29.json,Autumn Forecast,2.0
18,2010-11-25,Data/tmp_text_files/UK/Backbench Business 2010-11-25.txt,,
19,2010-11-29,Data/tmp_text_files/UK/Backbench Business 2010-11-29.txt,,
20,2010-12-02,Data/tmp_text_files/UK/Backbench Business 2010-12-02 (1).txt,,
21,2010-12-02,Data/tmp_text_files/UK/Backbench Business 2010-12-02.txt,,
22,2010-11-29,Data/speeches/UK/anking Reform 2010-11-29.json,Banking Reform,2.0
23,2010-12-07,Data/speeches/UK/anking_ Liability. 2010-12-07.json,Banking: Liability.,2.0
24,2010-12-07,Data/speeches/UK/ankruptcy 2010-12-07.json,Bankruptcy,2.0
25,2010-12-08,Data/speeches/UK/enefits Uprating 2010-12-08.json,Benefits Uprating,2.0
26,2010-12-09,Data/speeches/UK/iodiversity 2010-12-09.json,Biodiversity,2.0
27,2010-11-24,Data/speeches/UK/ookmakers and Planning (Haringey) 2010-11-24.json,Bookmakers and Planning (Haringey),2.0
28,2010-11-30,Data/speeches/UK/reast Cancer Screening (Young Women) 2010-11-30.json,Breast Cancer Screening (Young Women),2.0
29,2010-12-09,Data/speeches/UK/roadband 2010-12-09.json,Broadband,2.0
30,2010-12-09,Data/speeches/UK/udget Responsibility and National  Audit Bill [HL] 2010-12-09.json,Budget Responsibility and National  Audit Bill [HL],2.0
31,2010-11-25,Data/tmp_text_files/UK/Budget Responsibility and National Audit Bill [HL] 2010-11-25.txt,,
32,2010-11-29,Data/speeches/UK/udget Responsibility and National Audit Bill [HL] 2010-11-29.json,Budget Responsibility and National Audit Bill [HL],2.0
33,2010-12-01,Data/speeches/UK/udget Responsibility and National Audit Bill [HL] 2010-12-01.json,Budget Responsibility and National Audit Bill [HL],2.0
34,2010-12-06,Data/speeches/UK/udget Responsibility and National Audit Bill [HL] 2010-12-06.json,Budget Responsibility and National Audit Bill [HL],2.0
35,2010-12-09,Data/speeches/UK/us Service (Walsall) 2010-12-09.json,Bus Service (Walsall),2.0
36,2010-12-02,Data/speeches/UK/us Services 2010-12-02.json,Bus Services,2.0
37,2010-12-08,Data/speeches/UK/usiness of the House (Thursday) 2010-12-08.json,Business of the House (Thursday),2.0
38,2010-11-25,Data/tmp_text_files/UK/Business of the House 2010-11-25 (1).txt,,
39,2010-11-25,Data/speeches/UK/usiness of the House 2010-11-25.json,Business of the House,2.0
40,2010-11-29,Data/speeches/UK/usiness of the House 2010-11-29.json,Business of the House,2.0
41,2010-12-02,Data/tmp_text_files/UK/Business of the House 2010-12-02 (1).txt,,
42,2010-12-02,Data/speeches/UK/usiness of the House 2010-12-02.json,Business of the House,2.0
43,2010-12-09,Data/speeches/UK/usiness of the House 2010-12-09 (1).json,Business of the House,2.0
44,2010-12-09,Data/speeches/UK/usiness of the House 2010-12-09.json,Business of the House,2.0
45,2010-11-30,Data/speeches/UK/usiness Plans 2010-11-30.json,Business Plans,2.0
46,2010-11-24,Data/tmp_text_files/UK/Business without Debate 2010-11-24.txt,,
47,2010-11-25,Data/tmp_text_files/UK/Business without Debate 2010-11-25.txt,,
48,2010-11-29,Data/tmp_text_files/UK/Business without Debate 2010-11-29.txt,,
49,2010-11-30,Data/tmp_text_files/UK/Business Without Debate 2010-11-30.txt,,
