,date,file_path,debate_title,country
0,2010-07-07,Data/speeches/UK/GOAL Summit 2010-07-07.json,1GOAL Summit,2.0
1,2010-06-30,Data/speeches/UK/5 to M1 Link 2010-06-30.json,A5 to M1 Link,2.0
2,2010-06-23,Data/speeches/UK/cademies Bill [HL] 2010-06-23 (1).json,Academies Bill [HL],2.0
3,2010-06-23,Data/speeches/UK/cademies Bill [HL] 2010-06-23.json,Academies Bill [HL],2.0
4,2010-06-28,Data/speeches/UK/cademies Bill [HL] 2010-06-28 (1).json,Academies Bill [HL],2.0
5,2010-06-28,Data/speeches/UK/cademies Bill [HL] 2010-06-28.json,Academies Bill [HL],2.0
6,2010-07-01,Data/tmp_text_files/UK/Academies Bill [HL] 2010-07-01.txt,,
7,2010-07-06,Data/speeches/UK/cademies Bill [HL] 2010-07-06.json,Academies Bill [HL],2.0
8,2010-07-07,Data/speeches/UK/cademies Bill [HL] 2010-07-07 (1).json,Academies Bill [HL],2.0
9,2010-07-07,Data/speeches/UK/cademies Bill [HL] 2010-07-07.json,Academies Bill [HL],2.0
10,2010-06-23,Data/speeches/UK/ccident and Emergency (Westmorland General Hospital) 2010-06-23.json,Accident and Emergency (Westmorland General Hospital),2.0
11,2010-07-01,Data/speeches/UK/ct of Settlement 2010-07-01.json,Act of Settlement,2.0
12,2010-06-28,Data/speeches/UK/dministration (Police Time) 2010-06-28 (1).json,Administration (Police Time),2.0
13,2010-06-28,Data/speeches/UK/dministration (Police Time) 2010-06-28.json,Administration (Police Time),2.0
14,2010-06-23,Data/speeches/UK/fghanistan (Military Patrols) 2010-06-23.json,Afghanistan (Military Patrols),2.0
15,2010-07-05,Data/speeches/UK/fghanistan 2010-07-05 (1).json,Afghanistan,2.0
16,2010-07-05,Data/speeches/UK/fghanistan 2010-07-05.json,Afghanistan,2.0
17,2010-07-07,Data/speeches/UK/fghanistan 2010-07-07 (1).json,Afghanistan,2.0
18,2010-07-07,Data/speeches/UK/fghanistan 2010-07-07.json,Afghanistan,2.0
19,2010-07-08,Data/speeches/UK/frica_ Post-conflict Stabilisation 2010-07-08.json,Africa: Post-conflict Stabilisation,2.0
20,2010-07-06,Data/speeches/UK/griculture_ Farm Animal Disease 2010-07-06.json,Agriculture: Farm Animal Disease,2.0
21,2010-07-07,Data/speeches/UK/id Expenditure (Legislation) 2010-07-07.json,Aid Expenditure (Legislation),2.0
22,2010-07-07,Data/speeches/UK/id Expenditure (Transparency) 2010-07-07.json,Aid Expenditure (Transparency),2.0
23,2010-07-05,Data/speeches/UK/ircraft Carriers 2010-07-05.json,Aircraft Carriers,2.0
24,2010-06-29,Data/speeches/UK/lcohol Health Warnings 2010-06-29.json,Alcohol Health Warnings,2.0
25,2010-07-05,Data/speeches/UK/lignment (Clear Line of Sight) Project 2010-07-05.json,Alignment (Clear Line of Sight) Project,2.0
26,2010-06-28,Data/tmp_text_files/UK/Allhallows Staining Church Bill [HL] 2010-06-28.txt,,
27,2010-06-24,Data/speeches/UK/nimal Health Agency 2010-06-24.json,Animal Health Agency,2.0
28,2010-07-05,Data/speeches/UK/rmed Forces Accommodation 2010-07-05.json,Armed Forces Accommodation,2.0
29,2010-06-23,Data/speeches/UK/rmed Forces Day 2010-06-23.json,Armed Forces Day,2.0
30,2010-07-05,Data/speeches/UK/rmed Forces Pensions 2010-07-05.json,Armed Forces Pensions,2.0
31,2010-06-29,Data/speeches/UK/rrangement of Business 2010-06-29.json,Arrangement of Business,2.0
32,2010-07-05,Data/tmp_text_files/UK/Arrangement of Business 2010-07-05.txt,,
33,2010-07-06,Data/tmp_text_files/UK/Arrangement of Business 2010-07-06.txt,,
34,2010-07-08,Data/tmp_text_files/UK/Arrangement of Business 2010-07-08.txt,,
