,date,file_path,debate_title,country
0,2010-06-07,Data/speeches/UK/cademies 2010-06-07 (1).json,Academies,2.0
1,2010-06-07,Data/speeches/UK/cademies 2010-06-07 (2).json,Academies,2.0
2,2010-06-07,Data/speeches/UK/cademies 2010-06-07.json,Academies,2.0
3,2010-05-26,Data/tmp_text_files/UK/Academies Bill [HL] 2010-05-26.txt,,
4,2010-06-07,Data/speeches/UK/cademies Bill [HL] 2010-06-07.json,Academies Bill [HL],2.0
5,2010-05-26,Data/tmp_text_files/UK/Adjournment (Whitsun) 2010-05-26.txt,,
6,2010-06-03,Data/speeches/UK/dult Community Learning 2010-06-03.json,Adult Community Learning,2.0
7,2010-06-02,Data/speeches/UK/fghanistan 2010-06-02.json,Afghanistan,2.0
8,2010-06-03,Data/speeches/UK/pprenticeships 2010-06-03 (1).json,Apprenticeships,2.0
9,2010-06-03,Data/speeches/UK/pprenticeships 2010-06-03.json,Apprenticeships,2.0
10,2010-05-27,Data/tmp_text_files/UK/Arrangement of Business 2010-05-27.txt,,
11,2010-06-02,Data/tmp_text_files/UK/Arrangement of Business 2010-06-02.txt,,
12,2010-06-03,Data/tmp_text_files/UK/Arrangement of Business 2010-06-03.txt,,
13,2010-06-08,Data/tmp_text_files/UK/Arrangement of Business 2010-06-08.txt,,
14,2010-06-07,Data/speeches/UK/utonomy for Schools 2010-06-07.json,Autonomy for Schools,2.0
15,2010-06-07,Data/speeches/UK/arnett Formula 2010-06-07.json,Barnett Formula,2.0
16,2010-06-08,Data/speeches/UK/ingo Industry 2010-06-08.json,Bingo Industry,2.0
17,2010-06-08,Data/tmp_text_files/UK/Blockade of Gaza 2010-06-08.txt,,
18,2010-06-08,Data/speeches/UK/udget Deficit 2010-06-08 (1).json,Budget Deficit,2.0
19,2010-06-08,Data/speeches/UK/udget Deficit 2010-06-08.json,Budget Deficit,2.0
20,2010-05-26,Data/tmp_text_files/UK/Building Regulations (Review) Bill [HL] 2010-05-26.txt,,
