,date,file_path,debate_title,country
0,2010-01-11,Data/speeches/UK/fghan National Army 2010-01-11.json,Afghan National Army,2.0
1,2010-01-14,Data/speeches/UK/fghanistan 2010-01-14.json,Afghanistan,2.0
2,2010-01-21,Data/speeches/UK/fghanistan 2010-01-21.json,Afghanistan,2.0
3,2010-01-14,Data/speeches/UK/gency Workers 2010-01-14.json,Agency Workers,2.0
4,2010-01-12,Data/speeches/UK/lternative Medicine 2010-01-12.json,Alternative Medicine,2.0
5,2010-01-20,Data/speeches/UK/lternative Vote System 2010-01-20.json,Alternative Vote System,2.0
6,2010-01-12,Data/speeches/UK/mbulance Turnaround Times 2010-01-12.json,Ambulance Turnaround Times,2.0
7,2010-01-14,Data/speeches/UK/ndrew Symeou 2010-01-14.json,Andrew Symeou,2.0
8,2010-01-13,Data/speeches/UK/rmed Forces (Morale) 2010-01-13.json,Armed Forces (Morale),2.0
9,2010-01-11,Data/speeches/UK/rmed Forces Accommodation 2010-01-11.json,Armed Forces Accommodation,2.0
10,2010-01-14,Data/tmp_text_files/UK/Arrangement of Business 2010-01-14.txt,,
11,2010-01-19,Data/tmp_text_files/UK/Arrangement of Business 2010-01-19.txt,,
12,2010-01-12,Data/speeches/UK/sylum_ EUC Report 2010-01-12.json,Asylum: EUC Report,2.0
13,2010-01-19,Data/speeches/UK/ung San Suu Kyi 2010-01-19.json,Aung San Suu Kyi,2.0
14,2010-01-14,Data/speeches/UK/viation_ Climate Change 2010-01-14.json,Aviation: Climate Change,2.0
15,2010-01-13,Data/speeches/UK/ack to Work Initiative (Wales) 2010-01-13.json,Back to Work Initiative (Wales),2.0
16,2010-01-13,Data/tmp_text_files/UK/Badman Report (Reading East) 2010-01-13.txt,,
17,2010-01-20,Data/tmp_text_files/UK/Badman Report (Sherwood) 2010-01-20.txt,,
18,2010-01-18,Data/speeches/UK/ank of England 2010-01-18.json,Bank of England,2.0
19,2010-01-20,Data/speeches/UK/anks 2010-01-20.json,Banks,2.0
20,2010-01-18,Data/speeches/UK/BC 2010-01-18.json,BBC,2.0
21,2010-01-11,Data/speeches/UK/ody Armour (Afghanistan) 2010-01-11.json,Body Armour (Afghanistan),2.0
22,2010-01-20,Data/speeches/UK/osnia and Herzegovina 2010-01-20.json,Bosnia and Herzegovina,2.0
23,2010-01-21,Data/speeches/UK/ournemouth Borough Council Bill [Lords] 2010-01-21.json,Bournemouth Borough Council Bill [Lords],2.0
24,2010-01-21,Data/speeches/UK/ribery Bill 2010-01-21.json,Bribery Bill,2.0
25,2010-01-13,Data/speeches/UK/ribery Bill [HL] 2010-01-13.json,Bribery Bill [HL],2.0
26,2010-01-19,Data/speeches/UK/ritish Victims of Crime 2010-01-19.json,British Victims of Crime,2.0
27,2010-01-18,Data/speeches/UK/udget 2010-01-18.json,Budget,2.0
28,2010-01-15,Data/speeches/UK/uilding Regulations (Amendment) Bill [HL] 2010-01-15.json,Building Regulations (Amendment) Bill [HL],2.0
29,2010-01-19,Data/speeches/UK/urma (Election) 2010-01-19.json,Burma (Election),2.0
30,2010-01-14,Data/speeches/UK/uses 2010-01-14.json,Buses,2.0
31,2010-01-18,Data/tmp_text_files/UK/Business 2010-01-18.txt,,
32,2010-01-13,Data/tmp_text_files/UK/Business Before Questions 2010-01-13.txt,,
33,2010-01-14,Data/tmp_text_files/UK/Business of the House 2010-01-14 (1).txt,,
34,2010-01-14,Data/tmp_text_files/UK/Business of the House 2010-01-14 (2).txt,,
35,2010-01-14,Data/speeches/UK/usiness of the House 2010-01-14.json,Business of the House,2.0
36,2010-01-21,Data/tmp_text_files/UK/Business of the House 2010-01-21 (1).txt,,
37,2010-01-21,Data/speeches/UK/usiness of the House 2010-01-21.json,Business of the House,2.0
38,2010-01-12,Data/tmp_text_files/UK/Business without Debate 2010-01-12.txt,,
39,2010-01-13,Data/tmp_text_files/UK/Business without Debate 2010-01-13.txt,,
40,2010-01-18,Data/tmp_text_files/UK/Business without Debate 2010-01-18.txt,,
41,2010-01-19,Data/tmp_text_files/UK/Business without Debate 2010-01-19.txt,,
42,2010-01-20,Data/speeches/UK/usiness without Debate 2010-01-20.json,Business without Debate,2.0
43,2010-01-14,"Data/speeches/UK/usiness, Innovation and Skills 2010-01-14.json","Business, Innovation and Skills",2.0
44,2010-01-12,Data/speeches/UK/ancer Treatment 2010-01-12.json,Cancer Treatment,2.0
45,2010-01-14,Data/speeches/UK/anterbury City Council Bill 2010-01-14.json,Canterbury City Council Bill,2.0
46,2010-01-14,Data/speeches/UK/apital Expenditure 2010-01-14.json,Capital Expenditure,2.0
47,2010-01-18,Data/speeches/UK/hannel 4 2010-01-18.json,Channel 4,2.0
48,2010-01-18,Data/speeches/UK/harity Trustees 2010-01-18.json,Charity Trustees,2.0
49,2010-01-14,Data/tmp_text_files/UK/Child Poverty Bill 2010-01-14.txt,,
50,2010-01-19,Data/speeches/UK/hild Poverty Bill 2010-01-19.json,Child Poverty Bill,2.0
51,2010-01-21,Data/speeches/UK/hild Poverty Bill 2010-01-21.json,Child Poverty Bill,2.0
52,2010-01-11,"Data/speeches/UK/hildren, Schools and Families Bill 2010-01-11.json","Children, Schools and Families Bill",2.0
53,2010-01-13,Data/speeches/UK/hina 2010-01-13.json,China,2.0
54,2010-01-11,Data/speeches/UK/hinook Crash (Mull of Kintyre) 2010-01-11.json,Chinook Crash (Mull of Kintyre),2.0
55,2010-01-21,Data/speeches/UK/hurch Commissioners 2010-01-21 (1).json,Church Commissioners,2.0
56,2010-01-21,Data/speeches/UK/hurch Commissioners 2010-01-21.json,Church Commissioners,2.0
57,2010-01-13,Data/tmp_text_files/UK/Church of England (Miscellaneous Provisions) Measure 2010-01-13.txt,,
58,2010-01-20,Data/speeches/UK/limate Change 2010-01-20.json,Climate Change,2.0
59,2010-01-20,Data/speeches/UK/limate Change and Renewable Energy 2010-01-20.json,Climate Change and Renewable Energy,2.0
60,2010-01-20,Data/speeches/UK/limate Change_ Carbon Dioxide Emissions 2010-01-20.json,Climate Change: Carbon Dioxide Emissions,2.0
61,2010-01-14,Data/speeches/UK/limate Change_ Copenhagen Conference 2010-01-14.json,Climate Change: Copenhagen Conference,2.0
62,2010-01-20,Data/tmp_text_files/UK/Cluster Munitions (Prohibitions) Bill [HL] 2010-01-20.txt,,
63,2010-01-14,Data/speeches/UK/o-operative and Community Benefit Societies and Credit Unions Bill [HL] 2010-01-14.json,Co-operative and Community Benefit Societies and Credit Unions Bill [HL],2.0
64,2010-01-21,Data/speeches/UK/O2 Emissions 2010-01-21.json,CO2 Emissions,2.0
65,2010-01-11,Data/speeches/UK/ommons Chamber 2010-01-11.json,Commons Chamber,2.0
66,2010-01-12,Data/speeches/UK/ommons Chamber 2010-01-12.json,Commons Chamber,2.0
67,2010-01-13,Data/speeches/UK/ommons Chamber 2010-01-13.json,Commons Chamber,2.0
68,2010-01-14,Data/speeches/UK/ommons Chamber 2010-01-14.json,Commons Chamber,2.0
69,2010-01-18,Data/speeches/UK/ommons Chamber 2010-01-18.json,Commons Chamber,2.0
70,2010-01-19,Data/speeches/UK/ommons Chamber 2010-01-19.json,Commons Chamber,2.0
71,2010-01-20,Data/speeches/UK/ommons Chamber 2010-01-20.json,Commons Chamber,2.0
72,2010-01-21,Data/speeches/UK/ommons Chamber 2010-01-21.json,Commons Chamber,2.0
73,2010-01-18,Data/speeches/UK/ompetitive Sports (Schools) 2010-01-18.json,Competitive Sports (Schools),2.0
74,2010-01-11,Data/speeches/UK/onflict Resolution (Afghanistan) 2010-01-11.json,Conflict Resolution (Afghanistan),2.0
75,2010-01-19,Data/speeches/UK/onstitutional Reform and Governance Bill (Programme) (No. 3) 2010-01-19.json,Constitutional Reform and Governance Bill (Programme) (No. 3),2.0
76,2010-01-19,Data/speeches/UK/onstitutional Reform and Governance Bill 2010-01-19.json,Constitutional Reform and Governance Bill,2.0
77,2010-01-15,Data/speeches/UK/onsumer Emissions (Climate Change) Bill [HL] 2010-01-15.json,Consumer Emissions (Climate Change) Bill [HL],2.0
